GalaxyName,ClassAuditOnly,SPARC_RadiusKpc,SPARC_RadiusFraction,THINGS_RingIndex,THINGS_RadiusCenterKpc,RadiusDeltaKpc,StressDispersionOverRotationScale,S_tau_source_percentile,S_tau_source_log,CalibrationStatus,ReadoutStatus,AbsResidualProjection,AbsResidualMONDSimple,AbsResidualRAR
NGC2403,A,1.47,0.070436,23,1.458319553,0.011680447,0.425899082,0.279981771,0.142830996,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.0626669366236,0.0470348313139,0.0560167939754
NGC2403,A,1.57,0.0752276,25,1.582431855,0.012431855,0.400589262,0.322788834,0.166120654,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.0632077832316,0.047592209483,0.0565590780219
NGC2403,A,1.67,0.0800192,26,1.644488006,0.025511994,0.392573149,0.336346665,0.173584771,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.0623570529028,0.0466868995678,0.0557036626112
NGC2403,A,1.77,0.0848107,28,1.768600309,0.001399691,0.361491720,0.388915379,0.202937933,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.0325067687522,0.0168207732664,0.0258520517734
NGC2403,A,1.87,0.0896023,30,1.892712611,0.022712611,0.364823788,0.383279778,0.199759247,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.0275455156762,0.0119079080704,0.0208948981002
NGC2403,A,1.97,0.0943939,31,1.954768762,0.015231238,0.383413985,0.351837763,0.182166002,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.0249752869539,0.00939284085846,0.0183295088704
NGC2403,A,2.08,0.0996646,33,2.078881065,0.001118935,0.396302235,0.330039579,0.170107143,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.0198972140825,0.00437086073851,0.0132565289562
NGC2403,A,2.18,0.104456,35,2.202993367,0.022993367,0.384796717,0.349499118,0.180866885,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.0116076612412,0.0271114749059,0.0182462534243
NGC2403,A,2.28,0.109248,36,2.265049518,0.014950482,0.400748583,0.322519371,0.165972737,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.0232291108668,0.0385109176958,0.0298458258266
NGC2403,A,2.37,0.11356,38,2.389161821,0.019161821,0.405068447,0.315213089,0.161968491,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.0263760797633,0.0413261332202,0.0329568779485
NGC2403,A,2.47,0.118352,39,2.451217972,0.018782028,0.408998554,0.308566011,0.158336207,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.0399374078359,0.0545373031829,0.0464783363053
NGC2403,A,2.57,0.123143,41,2.575330274,0.005330274,0.375389229,0.365410212,0.189731230,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.0337554884008,0.0480437255692,0.0402616118734
NGC2403,A,2.68,0.128414,43,2.699442576,0.019442576,0.371978715,0.371178491,0.192959819,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.0370606207365,0.0510123360716,0.0435329927319
NGC2403,A,2.78,0.133206,44,2.761498728,0.018501272,0.390793036,0.339357410,0.175248134,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.0403228315592,0.0540004421081,0.0467736003459
NGC2403,A,2.88,0.137997,46,2.885611030,0.005611030,0.431732727,0.270115197,0.137521614,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.0345299378262,0.0479601503137,0.0409687709997
