GalaxyName,Class,W_tau_eff_candidate_score_v01,TauDistanceCandidate_NearerHigher_z,TauDistanceResidualAfterNuisance,W_tau_eff_score_residual_after_nuisance,AngularRadiusProxy_z,NPoints_z,MeanErrVobsKms_z,InclinationErrorDeg_z,DistanceFractionalError_z,MaxRadiusKpc_z,EnvironmentCuePresent,ReadoutUse,InterpretationGuardrail
NGC3198,A,0.304545455,-0.619595144,0.390867169,0.001502477,1.029952570,1.492312938,1.048362576,-0.539052610,-0.677807319,2.207733907,true,observer_distance_tau_candidate_stress_no_velocity_endpoint,multivariable_stress_no_velocity_endpoint_no_formula_selection
NGC3741,C,0.440909091,1.243381598,0.265300242,-0.148428932,0.377890626,0.028101036,-0.970753039,-0.165862342,-1.125980573,-0.504910087,true,observer_distance_tau_candidate_stress_no_velocity_endpoint,multivariable_stress_no_velocity_endpoint_no_formula_selection
NGC3917,A,0.209090909,-0.959007934,-0.513824099,-0.261524791,-0.493952769,-0.238119309,0.436055183,-0.912242879,-0.331766647,0.070100209,false,observer_distance_tau_candidate_stress_no_velocity_endpoint,multivariable_stress_no_velocity_endpoint_no_formula_selection
NGC3972,A,0.309090909,-0.959007934,-0.565852294,-0.178755510,-0.713411798,-0.704004914,1.024037553,-1.285433148,-0.331766647,-0.379080862,false,observer_distance_tau_candidate_stress_no_velocity_endpoint,multivariable_stress_no_velocity_endpoint_no_formula_selection
NGC4183,A,0.063636364,-0.959007934,-0.164128987,-0.351073414,-0.273778891,0.161211209,1.724450757,-0.912242879,-0.331766647,0.520744411,false,observer_distance_tau_candidate_stress_no_velocity_endpoint,multivariable_stress_no_velocity_endpoint_no_formula_selection
NGC4559,A,0.600000000,-0.073572421,0.456865620,0.294085167,0.473954474,0.760206987,1.348372983,-1.285433148,1.157324482,0.517086585,true,observer_distance_tau_candidate_stress_no_velocity_endpoint,multivariable_stress_no_velocity_endpoint_no_formula_selection
NGC5055,C,0.536363636,-0.195322924,0.386814725,0.173646111,2.522520343,0.493986641,-0.194250899,0.580518196,-1.335386065,2.976608998,true,observer_distance_tau_candidate_stress_no_velocity_endpoint,multivariable_stress_no_velocity_endpoint_no_formula_selection
NGC5585,A,0.327272727,0.236557404,0.192696094,-0.090101051,-0.026321224,0.227766296,-1.028628975,-0.912242879,1.159942791,-0.215210243,true,observer_distance_tau_candidate_stress_no_velocity_endpoint,multivariable_stress_no_velocity_endpoint_no_formula_selection
NGC6503,A,0.290909091,0.390185359,-0.236585923,-0.156293342,1.390102449,0.693651901,-0.931761744,-0.912242879,-1.157763544,0.702172596,true,observer_distance_tau_candidate_stress_no_velocity_endpoint,multivariable_stress_no_velocity_endpoint_no_formula_selection
NGC7331,A,0.409090909,-0.700300721,0.231147570,0.072926412,0.564069373,1.026427333,1.118977472,-0.912242879,-0.672339922,1.639307698,false,observer_distance_tau_candidate_stress_no_velocity_endpoint,multivariable_stress_no_velocity_endpoint_no_formula_selection
UGC00128,A,0.463636364,-2.589362340,-0.235217782,0.035315421,-0.488948818,0.094656123,-0.725059328,2.073279270,-0.225488291,2.915157516,false,observer_distance_tau_candidate_stress_no_velocity_endpoint,multivariable_stress_no_velocity_endpoint_no_formula_selection
UGC00191,A,0.154545455,-0.893485191,-0.544912339,-0.351936917,-0.649602006,-0.770560001,-0.974611435,0.207327927,1.141109333,-0.286903639,false,observer_distance_tau_candidate_stress_no_velocity_endpoint,multivariable_stress_no_velocity_endpoint_no_formula_selection
UGC00731,C,0.563636364,-0.493207926,-0.119946521,0.110419306,-0.463557337,-0.570894741,-0.606310024,-0.539052610,1.157324482,-0.218868070,false,observer_distance_tau_candidate_stress_no_velocity_endpoint,multivariable_stress_no_velocity_endpoint_no_formula_selection
UGC02455,C,0.895454545,0.262143078,0.405176344,0.370211590,-0.650409937,-0.837115087,0.014891688,0.207327927,1.162667049,-0.722184970,false,observer_distance_tau_candidate_stress_no_velocity_endpoint,multivariable_stress_no_velocity_endpoint_no_formula_selection
UGC03580,C,0.531818182,-1.137541715,-0.244259641,0.190885916,-0.184049644,1.758533284,1.153648305,-0.165862342,0.706355350,0.962609830,false,observer_distance_tau_candidate_stress_no_velocity_endpoint,multivariable_stress_no_velocity_endpoint_no_formula_selection
UGC04305,C,0.895454545,1.151275883,0.235073535,0.192775837,0.004297858,0.094656123,-0.044036538,2.073279270,-1.160031733,-0.613181746,false,observer_distance_tau_candidate_stress_no_velocity_endpoint,multivariable_stress_no_velocity_endpoint_no_formula_selection
UGC04325,C,0.777272727,-0.156014794,0.077369790,0.292239080,-0.650460297,-0.837115087,-0.417862469,-0.539052610,1.157324482,-0.608060789,false,observer_distance_tau_candidate_stress_no_velocity_endpoint,multivariable_stress_no_velocity_endpoint_no_formula_selection
UGC04499,C,0.581818182,-0.493207926,-0.152970397,0.110666186,-0.604068303,-0.770560001,-0.494182706,-0.539052610,1.157324482,-0.418585386,false,observer_distance_tau_candidate_stress_no_velocity_endpoint,multivariable_stress_no_velocity_endpoint_no_formula_selection
UGC05253,C,0.222727273,-1.266564572,0.595158717,0.061654469,0.472072140,3.488965531,1.717352345,-0.165862342,0.693174706,2.881505514,false,observer_distance_tau_candidate_stress_no_velocity_endpoint,multivariable_stress_no_velocity_endpoint_no_formula_selection
UGC05716,A,0.377272727,-1.174041725,-1.053581455,-0.238582836,-0.651451396,-0.570894741,-1.740678369,2.073279270,0.684344589,-0.112059541,false,observer_distance_tau_candidate_stress_no_velocity_endpoint,multivariable_stress_no_velocity_endpoint_no_formula_selection
UGC05764,A,0.850000000,0.164447483,-0.083877913,0.211217806,-0.713308446,-0.704004914,-1.707285708,2.073279270,1.156087180,-0.752179146,false,observer_distance_tau_candidate_stress_no_velocity_endpoint,multivariable_stress_no_velocity_endpoint_no_formula_selection
UGC05829,C,0.122727273,-0.021425857,0.178776963,-0.465169641,-0.510543252,-0.637449828,1.060867694,2.073279270,1.155184988,-0.511494175,false,observer_distance_tau_candidate_stress_no_velocity_endpoint,multivariable_stress_no_velocity_endpoint_no_formula_selection
UGC05918,C,0.359090909,0.132362710,0.329907541,-0.161747455,-0.650490043,-0.837115087,0.228506506,0.207327927,1.159737706,-0.690727664,false,observer_distance_tau_candidate_stress_no_velocity_endpoint,multivariable_stress_no_velocity_endpoint_no_formula_selection
UGC06446,C,0.577272727,-0.441061362,0.061381151,0.146148487,-0.477153788,-0.238119309,1.016671525,-0.539052610,1.157324482,-0.269346073,false,observer_distance_tau_candidate_stress_no_velocity_endpoint,multivariable_stress_no_velocity_endpoint_no_formula_selection
UGC06818,C,0.504545455,-0.959007934,-0.653372301,-0.031823799,-0.775603769,-0.837115087,1.131765716,-0.539052610,-0.331766647,-0.506373218,false,observer_distance_tau_candidate_stress_no_velocity_endpoint,multivariable_stress_no_velocity_endpoint_no_formula_selection
UGC06917,C,0.290909091,-0.959007934,-0.621932269,-0.212080782,-0.650862400,-0.637449828,0.400603711,-0.912242879,-0.331766647,-0.251056941,false,observer_distance_tau_candidate_stress_no_velocity_endpoint,multivariable_stress_no_velocity_endpoint_no_formula_selection
UGC06973,C,0.500000000,-0.959007934,-0.577014492,-0.025872001,-0.744507784,-0.770560001,1.524109024,-0.539052610,-0.331766647,-0.442727040,false,observer_distance_tau_candidate_stress_no_velocity_endpoint,multivariable_stress_no_velocity_endpoint_no_formula_selection
UGC07323,C,0.654545455,0.076885210,0.329498906,0.181220215,-0.557038304,-0.704004914,0.184310337,-0.539052610,1.157324482,-0.591234788,false,observer_distance_tau_candidate_stress_no_velocity_endpoint,multivariable_stress_no_velocity_endpoint_no_formula_selection
UGC07399,C,0.845454545,0.010005936,0.232116635,0.369632941,-0.557253904,-0.704004914,-0.177361648,-0.539052610,1.158420881,-0.568556265,false,observer_distance_tau_candidate_stress_no_velocity_endpoint,multivariable_stress_no_velocity_endpoint_no_formula_selection
UGC07577,C,0.936363636,1.517531204,1.034118818,0.319062645,-0.605284486,-0.770560001,-0.331311638,-0.539052610,-1.151549878,-0.893371242,false,observer_distance_tau_candidate_stress_no_velocity_endpoint,multivariable_stress_no_velocity_endpoint_no_formula_selection
UGC07603,C,0.395454545,0.756314626,0.729891236,-0.090763830,-0.462484149,-0.570894741,-0.537560428,-0.539052610,1.157324482,-0.716332448,false,observer_distance_tau_candidate_stress_no_velocity_endpoint,multivariable_stress_no_velocity_endpoint_no_formula_selection
UGC08490,C,0.754545455,0.769976932,0.153805014,0.252636622,0.379248346,0.627096814,0.051721829,-0.539052610,-0.562004317,-0.274467030,false,observer_distance_tau_candidate_stress_no_velocity_endpoint,multivariable_stress_no_velocity_endpoint_no_formula_selection
UGC08837,C,0.950000000,0.209701192,-0.206355424,0.300308774,-0.650310647,-0.837115087,-0.796292169,0.207327927,-1.153975127,-0.709748361,false,observer_distance_tau_candidate_stress_no_velocity_endpoint,multivariable_stress_no_velocity_endpoint_no_formula_selection
UGC12632,C,0.231818182,-0.178437702,0.140993230,-0.210687640,-0.323113802,-0.371229482,-0.043545469,-0.539052610,1.156378462,-0.237157201,false,observer_distance_tau_candidate_stress_no_velocity_endpoint,multivariable_stress_no_velocity_endpoint_no_formula_selection
