AGC,CanonicalSPARCNameCandidate,RAdeg,DEdeg,DistMpc,e_DistMpc,VcKms,HIflux,W85,Af,e_Af,Ac,e_Ac,Cv,K,SN,logMHI,Notes,Source,AllowedUse,InterpretationGuardrail,InWTauEffSeed,Class,W_tau_eff_candidate_score_v01,HasLocalSparcRotmod,LocalRotmodPath,ExpansionStatus,ReadoutPermission
005721,UGC05721,158.07167,27.66861,6.5,0.6,537,50.30,139,1.07,0.08,1.20,0.12,3.16,-0.017,449.0,8.70,1,Yu_etal_2022_VizieR_J_ApJS_261_21_table2,global_HI_profile_asymmetry_proxy_only,yu2022_alfalfa_coverage_no_directional_readout,no,,,yes,/Users/jolcsak/Projects/tau-core/data/sparc/Rotmod_LTG/UGC05721_rotmod.dat,candidate_for_predeclared_seed_expansion,coverage_only_no_directional_readout
005750,UGC05750,158.93750,20.99028,61.9,2.2,4167,3.05,119,1.08,0.08,1.11,0.12,2.72,-0.037,33.8,9.44,1,Yu_etal_2022_VizieR_J_ApJS_261_21_table2,global_HI_profile_asymmetry_proxy_only,yu2022_alfalfa_coverage_no_directional_readout,no,,,yes,/Users/jolcsak/Projects/tau-core/data/sparc/Rotmod_LTG/UGC05750_rotmod.dat,candidate_for_predeclared_seed_expansion,coverage_only_no_directional_readout
005764,UGC05764,159.18125,31.54611,8.3,2.5,582,12.57,88,1.02,0.07,1.04,0.10,3.16,-0.015,128.8,8.31,1,Yu_etal_2022_VizieR_J_ApJS_261_21_table2,global_HI_profile_asymmetry_proxy_only,yu2022_alfalfa_coverage_no_directional_readout,yes,A,0.850000000,yes,/Users/jolcsak/Projects/tau-core/data/sparc/Rotmod_LTG/UGC05764_rotmod.dat,existing_seed_overlap,coverage_only_no_directional_readout
005829,UGC05829,160.67583,34.44889,9.3,4.1,628,49.88,69,1.02,0.07,1.07,0.11,4.06,0.055,355.3,9.01,1,Yu_etal_2022_VizieR_J_ApJS_261_21_table2,global_HI_profile_asymmetry_proxy_only,yu2022_alfalfa_coverage_no_directional_readout,yes,C,0.122727273,yes,/Users/jolcsak/Projects/tau-core/data/sparc/Rotmod_LTG/UGC05829_rotmod.dat,existing_seed_overlap,coverage_only_no_directional_readout
005999,UGC05999,163.24583,7.61972,51.2,2.1,3389,7.32,59,1.06,0.08,1.08,0.11,3.95,0.033,82.6,9.66,1,Yu_etal_2022_VizieR_J_ApJS_261_21_table2,global_HI_profile_asymmetry_proxy_only,yu2022_alfalfa_coverage_no_directional_readout,no,,,yes,/Users/jolcsak/Projects/tau-core/data/sparc/Rotmod_LTG/UGC05999_rotmod.dat,candidate_for_predeclared_seed_expansion,coverage_only_no_directional_readout
006614,UGC06614,174.81208,17.14306,95.5,2.2,6344,12.69,225,1.02,0.07,1.21,0.12,3.11,-0.026,97.0,10.44,1,Yu_etal_2022_VizieR_J_ApJS_261_21_table2,global_HI_profile_asymmetry_proxy_only,yu2022_alfalfa_coverage_no_directional_readout,no,,,yes,/Users/jolcsak/Projects/tau-core/data/sparc/Rotmod_LTG/UGC06614_rotmod.dat,candidate_for_predeclared_seed_expansion,coverage_only_no_directional_readout
006786,UGC06786,177.28917,27.02194,37.1,7.9,1802,17.52,390,1.01,0.07,1.06,0.11,2.95,-0.047,100.9,9.76,1,Yu_etal_2022_VizieR_J_ApJS_261_21_table2,global_HI_profile_asymmetry_proxy_only,yu2022_alfalfa_coverage_no_directional_readout,no,,,yes,/Users/jolcsak/Projects/tau-core/data/sparc/Rotmod_LTG/UGC06786_rotmod.dat,candidate_for_predeclared_seed_expansion,coverage_only_no_directional_readout
007261,UGC07261,183.80958,20.65861,16.7,1.2,856,27.99,73,1.01,0.07,1.05,0.11,3.56,0.012,217.8,9.27,1,Yu_etal_2022_VizieR_J_ApJS_261_21_table2,global_HI_profile_asymmetry_proxy_only,yu2022_alfalfa_coverage_no_directional_readout,no,,,yes,/Users/jolcsak/Projects/tau-core/data/sparc/Rotmod_LTG/UGC07261_rotmod.dat,candidate_for_predeclared_seed_expansion,coverage_only_no_directional_readout
007524,UGC07524,186.45333,33.54639,4.0,0.4,314,301.23,98,1.05,0.07,1.12,0.11,3.40,0.002,1289.1,9.06,1,Yu_etal_2022_VizieR_J_ApJS_261_21_table2,global_HI_profile_asymmetry_proxy_only,yu2022_alfalfa_coverage_no_directional_readout,no,,,yes,/Users/jolcsak/Projects/tau-core/data/sparc/Rotmod_LTG/UGC07524_rotmod.dat,candidate_for_predeclared_seed_expansion,coverage_only_no_directional_readout
007603,UGC07603,187.18333,22.82139,6.8,1.3,643,31.49,108,1.03,0.07,1.05,0.11,3.45,0.012,324.5,8.54,1,Yu_etal_2022_VizieR_J_ApJS_261_21_table2,global_HI_profile_asymmetry_proxy_only,yu2022_alfalfa_coverage_no_directional_readout,yes,C,0.395454545,yes,/Users/jolcsak/Projects/tau-core/data/sparc/Rotmod_LTG/UGC07603_rotmod.dat,existing_seed_overlap,coverage_only_no_directional_readout
009037,UGC09037,212.12125,7.05750,88.5,2.3,5928,11.65,263,1.08,0.08,1.21,0.12,2.88,-0.046,83.8,10.33,1,Yu_etal_2022_VizieR_J_ApJS_261_21_table2,global_HI_profile_asymmetry_proxy_only,yu2022_alfalfa_coverage_no_directional_readout,no,,,yes,/Users/jolcsak/Projects/tau-core/data/sparc/Rotmod_LTG/UGC09037_rotmod.dat,candidate_for_predeclared_seed_expansion,coverage_only_no_directional_readout
009133,UGC09133,214.03167,35.34333,44.3,9.6,3850,21.34,380,1.09,0.08,1.27,0.13,2.77,-0.062,78.4,9.99,1,Yu_etal_2022_VizieR_J_ApJS_261_21_table2,global_HI_profile_asymmetry_proxy_only,yu2022_alfalfa_coverage_no_directional_readout,no,,,yes,/Users/jolcsak/Projects/tau-core/data/sparc/Rotmod_LTG/UGC09133_rotmod.dat,candidate_for_predeclared_seed_expansion,coverage_only_no_directional_readout
011820,UGC11820,327.36875,14.23083,18.2,2.3,1101,25.88,100,1.07,0.08,1.20,0.12,3.01,-0.022,243.7,9.31,1,Yu_etal_2022_VizieR_J_ApJS_261_21_table2,global_HI_profile_asymmetry_proxy_only,yu2022_alfalfa_coverage_no_directional_readout,no,,,yes,/Users/jolcsak/Projects/tau-core/data/sparc/Rotmod_LTG/UGC11820_rotmod.dat,candidate_for_predeclared_seed_expansion,coverage_only_no_directional_readout
011914,UGC11914,331.96875,31.35917,16.0,2.3,950,10.54,288,1.04,0.07,1.03,0.11,2.55,-0.088,81.1,8.80,1,Yu_etal_2022_VizieR_J_ApJS_261_21_table2,global_HI_profile_asymmetry_proxy_only,yu2022_alfalfa_coverage_no_directional_readout,no,,,yes,/Users/jolcsak/Projects/tau-core/data/sparc/Rotmod_LTG/UGC11914_rotmod.dat,candidate_for_predeclared_seed_expansion,coverage_only_no_directional_readout
012506,UGC12506,349.87708,16.07417,98.2,2.3,7245,14.96,406,1.01,0.07,1.05,0.11,2.94,-0.050,87.7,10.53,1,Yu_etal_2022_VizieR_J_ApJS_261_21_table2,global_HI_profile_asymmetry_proxy_only,yu2022_alfalfa_coverage_no_directional_readout,no,,,yes,/Users/jolcsak/Projects/tau-core/data/sparc/Rotmod_LTG/UGC12506_rotmod.dat,candidate_for_predeclared_seed_expansion,coverage_only_no_directional_readout
012732,UGC12732,355.16583,26.23611,11.6,2.4,745,74.71,103,1.07,0.07,1.20,0.12,2.89,-0.033,555.0,9.38,1,Yu_etal_2022_VizieR_J_ApJS_261_21_table2,global_HI_profile_asymmetry_proxy_only,yu2022_alfalfa_coverage_no_directional_readout,no,,,yes,/Users/jolcsak/Projects/tau-core/data/sparc/Rotmod_LTG/UGC12732_rotmod.dat,candidate_for_predeclared_seed_expansion,coverage_only_no_directional_readout
