GalaxyName,Class,PointIndex,RadiusKpc,RadiusFraction,aN_over_a0,SignedLogResidual_TPG,AbsLogResidual_TPG,CumulativeMeanSignedResidual,CumulativeSignedResidual,S_tau_eff_clipped_0_2,InterpretationGuardrail
ESO079-G014,A,7,5.65,0.338932,0.207612,0.074432783,0.074432783,-0.059752572,-0.418268003,1.199180961,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
ESO079-G014,A,8,6.34,0.380324,0.201514,0.155501716,0.155501716,-0.032845786,-0.262766287,1.429991248,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
ESO079-G014,A,9,6.89,0.413317,0.203589,0.147830932,0.147830932,-0.012770595,-0.114935355,1.408364064,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
ESO079-G014,A,10,8.34,0.5003,0.21933,0.145659242,0.145659242,0.003072389,0.030723887,1.410702345,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
ESO079-G014,A,11,10.04,0.60228,0.238634,0.082918767,0.082918767,0.010331150,0.113642653,1.232278100,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
ESO079-G014,A,12,11.65,0.69886,0.228215,0.064776973,0.064776973,0.014868302,0.178419626,1.177371783,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
ESO079-G014,A,13,13.36,0.80144,0.20525,0.058959258,0.058959258,0.018259914,0.237378884,1.156031297,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
ESO079-G014,A,14,15.06,0.903419,0.175943,0.059401913,0.059401913,0.021198628,0.296780797,1.150693536,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
ESO079-G014,A,15,16.67,1,0.151573,0.061768186,0.061768186,0.023903266,0.358548983,1.150995878,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
ESO116-G012,A,1,0.25,0.025355,0.162164,-0.001860722,0.001860722,-0.001860722,-0.001860722,0.995518999,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
ESO116-G012,A,2,0.83,0.0841785,0.197785,-0.015884993,0.015884993,-0.008872857,-0.017745715,0.959934464,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
ESO116-G012,A,3,1.38,0.139959,0.257441,-0.101099302,0.101099302,-0.039615006,-0.118845017,0.735435517,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
ESO116-G012,A,4,1.85,0.187627,0.281801,0.000054768,0.000054768,-0.029697562,-0.118790249,1.000155202,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
ESO116-G012,A,5,2.68,0.271805,0.200208,0.089819229,0.089819229,-0.005794204,-0.028971020,1.239739433,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
ESO116-G012,A,6,3.19,0.323529,0.19247,0.053165283,0.053165283,0.004032377,0.024194263,1.137767735,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
ESO116-G012,A,7,3.68,0.373225,0.185614,0.086042851,0.086042851,0.015748159,0.110237114,1.224451230,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
ESO116-G012,A,8,4.13,0.418864,0.176354,0.154366130,0.154366130,0.033075405,0.264603244,1.411248404,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
ESO116-G012,A,9,5.23,0.530426,0.1414,0.135750605,0.135750605,0.044483761,0.400353848,1.338785800,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
ESO116-G012,A,10,6.05,0.61359,0.113811,0.170027154,0.170027154,0.057038100,0.570381002,1.411038177,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
ESO116-G012,A,11,6.81,0.690669,0.0939989,0.163587884,0.163587884,0.066724444,0.733968886,1.378881471,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
ESO116-G012,A,12,7.56,0.766734,0.0850028,0.153369096,0.153369096,0.073944832,0.887337983,1.346553630,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
ESO116-G012,A,13,8.32,0.843813,0.0796615,0.135855854,0.135855854,0.078707218,1.023193836,1.300588758,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
ESO116-G012,A,14,9.09,0.921907,0.0732046,0.128434071,0.128434071,0.082259136,1.151627907,1.278820709,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
ESO116-G012,A,15,9.86,1,0.0605889,0.159377011,0.159377011,0.087400328,1.311004918,1.340448091,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
IC2574,C,1,0.85,0.083089,0.0146102,-0.508875693,0.508875693,-0.508875693,-0.508875693,0.339917087,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
IC2574,C,2,1.14,0.111437,0.0170283,-0.485426977,0.485426977,-0.497151335,-0.994302671,0.354236409,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
IC2574,C,3,1.42,0.138807,0.0183564,-0.381934732,0.381934732,-0.458745801,-1.376237402,0.462957503,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
IC2574,C,4,1.71,0.167155,0.0202817,-0.384334764,0.384334764,-0.440143042,-1.760572166,0.454677493,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
IC2574,C,5,1.99,0.194526,0.0226459,-0.436511401,0.436511401,-0.439416713,-2.197083567,0.388415220,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
IC2574,C,6,2.28,0.222874,0.0227137,-0.229330771,0.229330771,-0.404402390,-2.426414338,0.645544724,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
IC2574,C,7,2.55,0.249267,0.023516,-0.237981720,0.237981720,-0.380628008,-2.664396059,0.632310326,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
IC2574,C,8,2.84,0.277615,0.0232847,-0.218653049,0.218653049,-0.360381138,-2.883049108,0.659387525,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
IC2574,C,9,3.13,0.305963,0.0228831,-0.155796660,0.155796660,-0.337649530,-3.038845768,0.750274470,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
IC2574,C,10,3.41,0.333333,0.0222472,-0.135617635,0.135617635,-0.317446340,-3.174463403,0.781136270,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
IC2574,C,11,3.7,0.361681,0.0202666,-0.137804235,0.137804235,-0.301115240,-3.312267637,0.780021577,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
IC2574,C,12,3.98,0.389052,0.0184266,-0.032322576,0.032322576,-0.278715851,-3.344590214,0.946174130,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
IC2574,C,13,4.26,0.416422,0.0183809,-0.148258123,0.148258123,-0.268680641,-3.492848337,0.766869361,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
IC2574,C,14,4.55,0.44477,0.0212668,-0.124684726,0.124684726,-0.258395219,-3.617533063,0.798670374,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
IC2574,C,15,4.84,0.473118,0.0241606,-0.233466260,0.233466260,-0.256733288,-3.850999322,0.637423084,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
IC2574,C,16,5.12,0.500489,0.0254023,-0.202064362,0.202064362,-0.253316480,-4.053063684,0.679612474,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
IC2574,C,17,5.41,0.528837,0.025143,-0.200051226,0.200051226,-0.250183230,-4.253114910,0.682863271,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
IC2574,C,18,5.68,0.55523,0.0258958,-0.200339558,0.200339558,-0.247414137,-4.453454468,0.681387067,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
IC2574,C,19,5.97,0.583578,0.0261837,-0.191521460,0.191521460,-0.244472417,-4.644975928,0.693722623,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
IC2574,C,20,6.26,0.611926,0.0271992,-0.167489977,0.167489977,-0.240623295,-4.812465905,0.727821138,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
IC2574,C,21,6.54,0.639296,0.0281617,-0.143963891,0.143963891,-0.236020466,-4.956429796,0.762391435,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
IC2574,C,22,6.83,0.667644,0.0275049,-0.134595970,0.134595970,-0.231410262,-5.091025766,0.777450847,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
IC2574,C,23,7.1,0.694037,0.0272589,-0.134046747,0.134046747,-0.227177066,-5.225072513,0.778531366,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
IC2574,C,24,7.39,0.722385,0.0268041,-0.113623320,0.113623320,-0.222445660,-5.338695832,0.810756980,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
IC2574,C,25,7.68,0.750733,0.0272804,-0.088426444,0.088426444,-0.217084891,-5.427122277,0.850582785,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
IC2574,C,26,7.96,0.778104,0.0274042,-0.133747918,0.133747918,-0.213879623,-5.560870194,0.778855986,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
IC2574,C,27,8.25,0.806452,0.027259,-0.209106876,0.209106876,-0.213702854,-5.769977070,0.666887295,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
IC2574,C,28,8.52,0.832845,0.0261578,-0.044070549,0.044070549,-0.207644558,-5.814047619,0.924249256,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
IC2574,C,29,8.81,0.861193,0.0255533,-0.105754587,0.105754587,-0.204131111,-5.919802205,0.824145387,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
IC2574,C,30,9.1,0.889541,0.0251895,-0.108706805,0.108706805,-0.200950300,-6.028509010,0.819790552,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
IC2574,C,31,9.38,0.916911,0.0254448,-0.048602087,0.048602087,-0.196035842,-6.077111097,0.916909571,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
IC2574,C,32,9.67,0.945259,0.0265537,-0.090908075,0.090908075,-0.192750599,-6.168019172,0.847055690,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
IC2574,C,33,9.96,0.973607,0.0264141,-0.075121116,0.075121116,-0.189186069,-6.243140288,0.872705290,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
IC2574,C,34,10.23,1,0.0270722,-0.091125990,0.091125990,-0.186301949,-6.334266278,0.846362634,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC0055,C,1,1.23,0.0911111,0.123933,-0.395332399,0.395332399,-0.395332399,-0.395332399,0.262059927,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC0055,C,2,1.84,0.136296,0.129188,-0.339939736,0.339939736,-0.367636068,-0.735272136,0.342567718,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC0055,C,3,2.46,0.182222,0.125061,-0.338194094,0.338194094,-0.357822076,-1.073466229,0.350225696,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC0055,C,4,3.07,0.227407,0.121032,-0.287923198,0.287923198,-0.340347357,-1.361389428,0.437616868,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC0055,C,5,3.68,0.272593,0.118349,-0.223180894,0.223180894,-0.316914064,-1.584570322,0.552576653,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC0055,C,6,4.3,0.318519,0.115638,-0.187517892,0.187517892,-0.295348036,-1.772088214,0.619477630,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC0055,C,7,4.91,0.363704,0.10979,-0.178482984,0.178482984,-0.278653028,-1.950571197,0.640260599,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC0055,C,8,5.52,0.408889,0.103602,-0.164285119,0.164285119,-0.264357040,-2.114856317,0.670616444,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC0055,C,9,6.14,0.454815,0.0972935,-0.171192792,0.171192792,-0.254005457,-2.286049109,0.662270514,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC0055,C,10,6.75,0.5,0.0914689,-0.137056564,0.137056564,-0.242310567,-2.423105673,0.728421515,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC0055,C,11,7.37,0.545926,0.0864263,-0.119093600,0.119093600,-0.231109025,-2.542199273,0.764519712,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC0055,C,12,7.98,0.591111,0.0818933,-0.118436317,0.118436317,-0.221719632,-2.660635589,0.768103658,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC0055,C,13,8.59,0.636296,0.0784535,-0.128233045,0.128233045,-0.214528357,-2.788868635,0.752086918,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC0055,C,14,9.21,0.682222,0.0738545,-0.144390167,0.144390167,-0.209518486,-2.933258802,0.726033926,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC0055,C,15,9.82,0.727407,0.0686378,-0.134855166,0.134855166,-0.204540931,-3.068113968,0.746192288,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC0055,C,16,10.43,0.772593,0.0634806,-0.155372932,0.155372932,-0.201467931,-3.223486900,0.714274283,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC0055,C,17,11.05,0.818519,0.0576877,-0.152394361,0.152394361,-0.198581251,-3.375881262,0.723665927,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC0055,C,18,11.66,0.863704,0.0527719,-0.140138088,0.140138088,-0.195334408,-3.516019350,0.747887511,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC0055,C,19,12.28,0.90963,0.0495565,-0.146080269,0.146080269,-0.192742085,-3.662099619,0.740429250,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC0055,C,20,12.89,0.954815,0.0472351,-0.139164081,0.139164081,-0.190063185,-3.801263700,0.753628036,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC0055,C,21,13.5,1,0.0456436,-0.161055248,0.161055248,-0.188681855,-3.962318948,0.719293901,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC1705,C,1,0.22,0.0366667,0.71694,0.457663102,0.457663102,0.457663102,0.457663102,2.000000000,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC1705,C,2,0.66,0.11,0.485134,0.252897776,0.252897776,0.355280439,0.710560878,2.000000000,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC1705,C,3,1.11,0.185,0.305277,0.294147170,0.294147170,0.334902683,1.004708048,1.995787544,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC1705,C,4,1.55,0.258333,0.187663,0.292833830,0.292833830,0.324385469,1.297541878,1.852419032,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC1705,C,5,2,0.333333,0.12394,0.293773777,0.293773777,0.318263131,1.591315655,1.771704218,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC1705,C,6,2.45,0.408333,0.0847702,0.311273302,0.311273302,0.317098159,1.902588956,1.763070575,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC1705,C,7,2.89,0.481667,0.0608935,0.322521614,0.322521614,0.317872939,2.225110570,1.750559745,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC1705,C,8,3.34,0.556667,0.0452928,0.343856979,0.343856979,0.321120944,2.568967549,1.773540538,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC1705,C,9,3.78,0.63,0.0350569,0.373487817,0.373487817,0.326939485,2.942455366,1.824334688,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC1705,C,10,4.22,0.703333,0.0289736,0.385598038,0.385598038,0.332805340,3.328053404,1.836586241,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC1705,C,11,4.66,0.776667,0.0246251,0.392671263,0.392671263,0.338247697,3.720724667,1.839248959,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC1705,C,12,5.11,0.851667,0.0213844,0.393352910,0.393352910,0.342839798,4.114077577,1.828200563,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC1705,C,13,5.56,0.926667,0.0187295,0.405050684,0.405050684,0.347625251,4.519128261,1.846497859,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC1705,C,14,6,1,0.0177222,0.382439218,0.382439218,0.350111963,4.901567480,1.785332995,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC2366,C,1,0.12,0.019802,0.0170808,-0.483022295,0.483022295,-0.483022295,-0.483022295,0.356531787,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC2366,C,2,0.36,0.0594059,0.0468406,-0.576003507,0.576003507,-0.529512901,-1.059025802,0.170649660,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC2366,C,3,0.59,0.0973597,0.0590848,-0.414836583,0.414836583,-0.491287461,-1.473862384,0.333650410,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC2366,C,4,0.83,0.136964,0.0687225,-0.451143846,0.451143846,-0.481251558,-1.925006230,0.269347889,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC2366,C,5,1.07,0.176568,0.0731464,-0.358340053,0.358340053,-0.456669257,-2.283346283,0.387367238,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC2366,C,6,1.31,0.216172,0.0754616,-0.286748032,0.286748032,-0.428349053,-2.570094315,0.490057820,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC2366,C,7,1.54,0.254125,0.0748255,-0.201077200,0.201077200,-0.395881645,-2.771171515,0.627972843,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC2366,C,8,1.79,0.29538,0.0751692,-0.152993716,0.152993716,-0.365520654,-2.924165231,0.710016208,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC2366,C,9,2.02,0.333333,0.0759727,-0.139970152,0.139970152,-0.340459487,-3.064135383,0.732501649,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC2366,C,10,2.26,0.372937,0.0734763,-0.141624216,0.141624216,-0.320575960,-3.205759599,0.731163363,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC2366,C,11,2.49,0.410891,0.0684866,-0.100566497,0.100566497,-0.300575100,-3.306326096,0.807590686,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC2366,C,12,2.74,0.452145,0.0643421,-0.080206236,0.080206236,-0.282211028,-3.386532332,0.846624394,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC2366,C,13,2.97,0.490099,0.0624508,-0.095943272,0.095943272,-0.267882739,-3.482475605,0.818844578,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC2366,C,14,3.21,0.529703,0.0604668,-0.109612007,0.109612007,-0.256577687,-3.592087612,0.795502069,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC2366,C,15,3.44,0.567657,0.0584461,-0.094692242,0.094692242,-0.245785324,-3.686779854,0.823007423,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC2366,C,16,3.69,0.608911,0.0557282,-0.086629126,0.086629126,-0.235838061,-3.773408979,0.838653034,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC2366,C,17,3.92,0.646865,0.0534911,-0.086019096,0.086019096,-0.227025181,-3.859428076,0.840755656,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC2366,C,18,4.16,0.686469,0.0504328,-0.082845156,0.082845156,-0.219015180,-3.942273232,0.847757190,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC2366,C,19,4.4,0.726073,0.0477724,-0.140312472,0.140312472,-0.214872932,-4.082585704,0.751323880,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC2366,C,20,4.64,0.765677,0.0454744,-0.142434360,0.142434360,-0.211251003,-4.225020064,0.749618852,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC2366,C,21,4.87,0.80363,0.0443976,-0.160452814,0.160452814,-0.208832042,-4.385472878,0.721364735,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC2366,C,22,5.11,0.843234,0.0431236,-0.196226474,0.196226474,-0.208259061,-4.581699352,0.666476954,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC2366,C,23,5.35,0.882838,0.0411713,-0.241864643,0.241864643,-0.209720174,-4.823563995,0.600424233,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC2366,C,24,5.59,0.922442,0.0388994,-0.214009219,0.214009219,-0.209898884,-5.037573214,0.644426453,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC2366,C,25,5.82,0.960396,0.0364023,-0.231690327,0.231690327,-0.210770542,-5.269263541,0.621651475,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC2366,C,26,6.06,1,0.0345278,-0.225630177,0.225630177,-0.211342066,-5.494893718,0.632988124,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC2403,A,1,0.16,0.00766651,0.454641,0.050935023,0.050935023,0.050935023,0.050935023,1.177061613,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC2403,A,2,0.26,0.0124581,0.648264,0.056085370,0.056085370,0.053510197,0.107020393,1.229406613,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC2403,A,3,0.36,0.0172496,0.830282,0.010816242,0.010816242,0.039278878,0.117836635,1.049090919,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC2403,A,4,0.46,0.0220412,0.94614,0.027942979,0.027942979,0.036444904,0.145779615,1.137478251,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC2403,A,5,0.56,0.0268328,0.983941,0.073704269,0.073704269,0.043896777,0.219483883,1.379462154,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC2403,A,6,0.66,0.0316243,0.937525,0.086040817,0.086040817,0.050920783,0.305524701,1.433668965,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC2403,A,7,0.76,0.0364159,0.895336,0.117559627,0.117559627,0.060440618,0.423084328,1.586810253,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC2403,A,8,0.86,0.0412075,0.836404,0.119152434,0.119152434,0.067779595,0.542236762,1.573490903,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC2403,A,9,0.96,0.045999,0.793012,0.082585258,0.082585258,0.069424669,0.624822020,1.379224828,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC2403,A,10,1.06,0.0507906,0.762512,0.072985621,0.072985621,0.069780764,0.697807641,1.326729970,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC2403,A,11,1.16,0.0555822,0.740421,0.062479087,0.062479087,0.069116975,0.760286728,1.274016029,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC2403,A,12,1.27,0.0608529,0.72371,0.085522546,0.085522546,0.070484106,0.845809274,1.375071531,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC2403,A,13,1.36,0.0651653,0.726599,0.085269366,0.085269366,0.071621434,0.931078640,1.374673318,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC2403,A,14,1.47,0.070436,0.71648,0.062666861,0.062666861,0.070981821,0.993745501,1.270290380,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
