GalaxyName,Class,RadiusKpc,RadiusFraction,aN_over_a0,VobsKms,VbarKms,Predicted_S_tau_source_v01,ModelVelocity_S_tau1,ModelVelocity_SourceRule,AbsLogResidual_S_tau1,AbsLogResidual_SourceRule,DeltaAbsLogResidual_SourceMinusS1,InterpretationGuardrail
DDO154,A,2.96,0.5,0.0277722,42.000000000,17.446856450,1.050000000,40.127783618,41.261829976,0.045600666,0.017731759,-0.027868906,post_freeze_velocity_readout_no_refit
DDO154,A,3.46,0.584459,0.0269119,44.600000000,18.568480013,1.050000000,42.912266606,44.129455936,0.038576139,0.010606364,-0.027969775,post_freeze_velocity_readout_no_refit
DDO154,A,3.95,0.66723,0.0239951,46.300000000,18.733780985,1.050000000,44.048781493,45.314531519,0.049844271,0.021514196,-0.028330075,post_freeze_velocity_readout_no_refit
DDO154,A,4.44,0.75,0.0202015,47.400000000,18.224227007,1.050000000,43.955368272,45.241925335,0.075447467,0.046598020,-0.028849447,post_freeze_velocity_readout_no_refit
DDO154,A,4.94,0.834459,0.0169671,48.200000000,17.617064171,1.050000000,43.577383069,44.875399014,0.100820742,0.071469283,-0.029351460,post_freeze_velocity_readout_no_refit
DDO154,A,5.43,0.91723,0.0142488,47.400000000,16.926005140,1.050000000,42.915599932,44.215079672,0.099386834,0.069556329,-0.029830505,post_freeze_velocity_readout_no_refit
DDO154,A,5.92,1,0.0120527,45.500000000,16.254334806,1.050000000,42.179364903,43.475616407,0.075781208,0.045512087,-0.030269120,post_freeze_velocity_readout_no_refit
ESO079-G014,A,0.41,0.0245951,0.279244,33.200000000,20.589690381,1.050000000,31.870738461,32.434790865,0.040861577,0.023318237,-0.017543340,post_freeze_velocity_readout_no_refit
ESO079-G014,A,0.98,0.0587882,0.317555,50.400000000,33.945958522,1.050000000,51.334352061,52.203771738,0.018368984,0.035163573,0.016794589,post_freeze_velocity_readout_no_refit
ESO079-G014,A,1.78,0.106779,0.299369,53.900000000,44.420114250,1.050000000,67.894570427,69.068293236,0.230825589,0.247965294,0.017139705,post_freeze_velocity_readout_no_refit
ESO079-G014,A,2.69,0.161368,0.293328,67.600000000,54.052915740,1.050000000,82.923968818,84.367521472,0.204316167,0.221574528,0.017258361,post_freeze_velocity_readout_no_refit
ESO079-G014,A,3.36,0.20156,0.278385,81.700000000,58.851630819,1.050000000,91.147358129,92.762144494,0.109423515,0.126984629,0.017561114,post_freeze_velocity_readout_no_refit
ESO079-G014,A,4.39,0.263347,0.23743,102.000000000,62.124894769,1.050000000,99.047637526,100.893774664,0.029371892,0.010904586,-0.018467306,post_freeze_velocity_readout_no_refit
ESO079-G014,A,5.65,0.338932,0.207612,116.000000000,65.904752864,1.050000000,107.679304606,109.768032193,0.074432783,0.055220850,-0.019211933,post_freeze_velocity_readout_no_refit
ESO079-G014,A,6.34,0.380324,0.201514,132.000000000,68.780131215,1.050000000,112.990100265,115.200598718,0.155501716,0.136126977,-0.019374739,post_freeze_velocity_readout_no_refit
ESO079-G014,A,6.89,0.413317,0.203589,137.000000000,72.069670112,1.050000000,118.173040376,120.478208889,0.147830932,0.128512028,-0.019318903,post_freeze_velocity_readout_no_refit
ESO079-G014,A,8.34,0.5003,0.21933,154.000000000,82.299641251,1.050000000,133.125642208,135.666942256,0.145659242,0.126749674,-0.018909568,post_freeze_velocity_readout_no_refit
ESO079-G014,A,10.04,0.60228,0.238634,163.000000000,94.188704737,1.050000000,150.029423901,152.821459859,0.082918767,0.064479890,-0.018438877,post_freeze_velocity_readout_no_refit
ESO079-G014,A,11.65,0.69886,0.228215,170.000000000,99.220343428,1.050000000,159.337001262,162.342834154,0.064776973,0.046088078,-0.018688895,post_freeze_velocity_readout_no_refit
ESO079-G014,A,13.36,0.80144,0.20525,175.000000000,100.765123183,1.050000000,164.980406095,168.191170240,0.058959258,0.039684723,-0.019274535,post_freeze_velocity_readout_no_refit
ESO079-G014,A,15.06,0.903419,0.175943,177.000000000,99.052241015,1.050000000,166.792048772,170.179039160,0.059401913,0.039298678,-0.020103235,post_freeze_velocity_readout_no_refit
ESO079-G014,A,16.67,1,0.151573,178.000000000,96.726348789,1.050000000,167.337940669,170.868520263,0.061768186,0.040889177,-0.020879009,post_freeze_velocity_readout_no_refit
ESO116-G012,A,0.25,0.025355,0.162164,20.900000000,12.252185519,1.050000000,20.938925286,21.373262274,0.001860722,0.022391555,0.020530834,post_freeze_velocity_readout_no_refit
ESO116-G012,A,0.83,0.0841785,0.197785,40.000000000,24.654833198,1.050000000,40.640473222,41.439755223,0.015884993,0.035361237,0.019476244,post_freeze_velocity_readout_no_refit
ESO116-G012,A,1.38,0.139959,0.257441,51.500000000,36.269757374,1.050000000,56.978904904,58.014362281,0.101099302,0.119108798,0.018009495,post_freeze_velocity_readout_no_refit
ESO116-G012,A,1.85,0.187627,0.281801,67.900000000,43.936278290,1.050000000,67.896281353,69.094281506,0.000054768,0.017435936,0.017381168,post_freeze_velocity_readout_no_refit
ESO116-G012,A,2.68,0.271805,0.200208,80.200000000,44.573216734,1.050000000,73.310532255,74.747398031,0.089819229,0.070409112,-0.019410117,post_freeze_velocity_readout_no_refit
ESO116-G012,A,3.19,0.323529,0.19247,83.300000000,47.680675855,1.050000000,78.986998766,80.552314912,0.053165283,0.033541701,-0.019623582,post_freeze_velocity_readout_no_refit
ESO116-G012,A,3.68,0.373225,0.185614,91.400000000,50.291608644,1.050000000,83.864518976,85.543164492,0.086042851,0.066224382,-0.019818469,post_freeze_velocity_readout_no_refit
ESO116-G012,A,4.13,0.418864,0.176354,102.000000000,51.931756181,1.050000000,87.409736983,89.183636023,0.154366130,0.134275243,-0.020090887,post_freeze_velocity_readout_no_refit
ESO116-G012,A,5.23,0.530426,0.1414,105.000000000,52.328883993,1.050000000,91.671335952,93.638458550,0.135750605,0.114519169,-0.021231436,post_freeze_velocity_readout_no_refit
ESO116-G012,A,6.05,0.61359,0.113811,109.000000000,50.493588207,1.050000000,91.956967983,94.030136972,0.170027154,0.147732545,-0.022294609,post_freeze_velocity_readout_no_refit
ESO116-G012,A,6.81,0.690669,0.0939989,108.000000000,48.685626216,1.050000000,91.701922408,93.852737218,0.163587884,0.140404299,-0.023183585,post_freeze_velocity_readout_no_refit
ESO116-G012,A,7.56,0.766734,0.0850028,109.000000000,48.780180914,1.050000000,93.501622192,95.737694256,0.153369096,0.129735782,-0.023633314,post_freeze_velocity_readout_no_refit
ESO116-G012,A,8.32,0.843813,0.0796615,110.000000000,49.539530680,1.050000000,96.026530447,98.350880435,0.135855854,0.111938869,-0.023916985,post_freeze_velocity_readout_no_refit
ESO116-G012,A,9.09,0.921907,0.0732046,111.000000000,49.638324911,1.050000000,97.621341342,100.020492163,0.128434071,0.104155115,-0.024278956,post_freeze_velocity_readout_no_refit
ESO116-G012,A,9.86,1,0.0605889,112.000000000,47.032811951,1.050000000,95.499581014,97.922919467,0.159377011,0.134318238,-0.025058773,post_freeze_velocity_readout_no_refit
IC2574,C,0.85,0.083089,0.0146102,10.300000000,6.781154032,0.850000000,17.133225471,15.580414755,0.508875693,0.413870766,-0.095004927,post_freeze_velocity_readout_no_refit
IC2574,C,1.14,0.111437,0.0170283,12.900000000,8.478210306,0.850000000,20.960805495,19.088416217,0.485426977,0.391854359,-0.093572619,post_freeze_velocity_readout_no_refit
IC2574,C,1.42,0.138807,0.0183564,16.400000000,9.824360030,0.850000000,24.027909887,21.897377408,0.381934732,0.289085542,-0.092849190,post_freeze_velocity_readout_no_refit
IC2574,C,1.71,0.167155,0.0202817,18.600000000,11.332257057,0.850000000,27.316648316,24.918989627,0.384334764,0.292468568,-0.091866196,post_freeze_velocity_readout_no_refit
IC2574,C,1.99,0.194526,0.0226459,19.800000000,12.917755223,0.850000000,30.636537678,27.978720310,0.436511401,0.345762295,-0.090749106,post_freeze_velocity_readout_no_refit
IC2574,C,2.28,0.222874,0.0227137,26.100000000,13.847701975,0.850000000,32.827483816,29.980516539,0.229330771,0.138612408,-0.090718364,post_freeze_velocity_readout_no_refit
IC2574,C,2.55,0.249267,0.023516,27.700000000,14.901070431,0.850000000,35.142602236,32.106372465,0.237981720,0.147622116,-0.090359604,post_freeze_velocity_readout_no_refit
IC2574,C,2.84,0.277615,0.0232847,29.700000000,15.648041411,0.850000000,36.958663853,33.762070487,0.218653049,0.128190952,-0.090462098,post_freeze_velocity_readout_no_refit
IC2574,C,3.13,0.305963,0.0228831,33.000000000,16.285274023,0.850000000,38.563422430,35.221700169,0.155796660,0.065154813,-0.090641847,post_freeze_velocity_readout_no_refit
IC2574,C,3.41,0.333333,0.0222472,34.800000000,16.760264019,0.850000000,39.854488008,36.390354410,0.135617635,0.044686364,-0.090931271,post_freeze_velocity_readout_no_refit
IC2574,C,3.7,0.361681,0.0202666,35.000000000,16.663158464,0.850000000,40.171279347,36.645061215,0.137804235,0.045930602,-0.091873632,post_freeze_velocity_readout_no_refit
IC2574,C,3.98,0.389052,0.0184266,39.000000000,16.478969931,0.850000000,40.281174358,36.710843694,0.032322576,0.060489466,0.028166890,post_freeze_velocity_readout_no_refit
IC2574,C,4.26,0.416422,0.0183809,35.900000000,17.027627551,0.850000000,41.637259136,37.945814398,0.148258123,0.055421910,-0.092836213,post_freeze_velocity_readout_no_refit
IC2574,C,4.55,0.44477,0.0212668,40.000000000,18.928795524,0.850000000,45.311650270,41.354222058,0.124684726,0.033295068,-0.091389658,post_freeze_velocity_readout_no_refit
IC2574,C,4.84,0.473118,0.0241606,38.700000000,20.808565544,0.850000000,48.876947288,44.666690026,0.233466260,0.143388434,-0.090077825,post_freeze_velocity_readout_no_refit
IC2574,C,5.12,0.500489,0.0254023,41.800000000,21.945083732,0.850000000,51.160139389,46.777881041,0.202064362,0.112514124,-0.089550237,post_freeze_velocity_readout_no_refit
IC2574,C,5.41,0.528837,0.025143,42.900000000,22.442609028,0.850000000,52.400862525,47.907124500,0.200051226,0.110392404,-0.089658821,post_freeze_velocity_readout_no_refit
IC2574,C,5.68,0.55523,0.0258958,44.400000000,23.337525576,0.850000000,54.248699913,49.612023763,0.200339558,0.110993749,-0.089345808,post_freeze_velocity_readout_no_refit
IC2574,C,5.97,0.583578,0.0261837,46.100000000,24.058496420,0.850000000,55.831286948,51.065368369,0.191521460,0.102293595,-0.089227866,post_freeze_velocity_readout_no_refit
IC2574,C,6.26,0.611926,0.0271992,49.000000000,25.109090983,0.850000000,57.934338527,53.010551396,0.167489977,0.078670679,-0.088819298,post_freeze_velocity_readout_no_refit
IC2574,C,6.54,0.639296,0.0281617,51.900000000,26.114640530,0.850000000,59.936320970,54.863068904,0.143963891,0.055521634,-0.088442257,post_freeze_velocity_readout_no_refit
IC2574,C,6.83,0.667644,0.0275049,53.100000000,26.374336958,0.850000000,60.750353306,55.593950854,0.134595970,0.045897469,-0.088698500,post_freeze_velocity_readout_no_refit
IC2574,C,7.1,0.694037,0.0272589,54.000000000,26.770045760,0.850000000,61.746098655,56.499690720,0.134046747,0.045251118,-0.088795630,post_freeze_velocity_readout_no_refit
IC2574,C,7.39,0.722385,0.0268041,55.900000000,27.082474038,0.850000000,62.626449180,57.294852908,0.113623320,0.024646412,-0.088976907,post_freeze_velocity_readout_no_refit
IC2574,C,7.68,0.750733,0.0272804,58.800000000,27.853005224,0.850000000,64.236288930,58.778796374,0.088426444,0.000360671,-0.088065773,post_freeze_velocity_readout_no_refit
IC2574,C,7.96,0.778104,0.0274042,57.300000000,28.420460060,0.850000000,65.499895113,59.937979855,0.133747918,0.045009735,-0.088738183,post_freeze_velocity_readout_no_refit
IC2574,C,8.25,0.806452,0.027259,54.000000000,28.856759174,0.850000000,66.559143086,60.903785499,0.209106876,0.120311285,-0.088795590,post_freeze_velocity_readout_no_refit
IC2574,C,8.52,0.832845,0.0261578,63.800000000,28.726727102,0.850000000,66.674577905,60.982400284,0.044070549,0.045167888,0.001097339,post_freeze_velocity_readout_no_refit
IC2574,C,8.81,0.861193,0.0255533,60.500000000,28.872028851,0.850000000,67.248717762,61.492214426,0.105754587,0.016267207,-0.089487379,post_freeze_velocity_readout_no_refit
IC2574,C,9.1,0.889541,0.0251895,61.000000000,29.133738174,0.850000000,68.004961727,62.174278194,0.108706805,0.019067516,-0.089639289,post_freeze_velocity_readout_no_refit
IC2574,C,9.38,0.916911,0.0254448,66.000000000,29.728049886,0.850000000,69.286967464,63.353129828,0.048602087,0.040930431,-0.007671656,post_freeze_velocity_readout_no_refit
IC2574,C,9.67,0.945259,0.0265537,65.200000000,30.834816361,0.850000000,71.404974914,65.319451131,0.090908075,0.001830396,-0.089077678,post_freeze_velocity_readout_no_refit
IC2574,C,9.96,0.973607,0.0264141,67.100000000,31.211420987,0.850000000,72.334786927,66.166282036,0.075121116,0.014013046,-0.061108071,post_freeze_velocity_readout_no_refit
IC2574,C,10.23,1,0.0270722,67.500000000,32.023262638,0.850000000,73.939972967,67.652466417,0.091125990,0.002256215,-0.088869775,post_freeze_velocity_readout_no_refit
NGC0055,C,1.23,0.0911111,0.123933,28.700000000,23.758103881,0.825000000,42.615989454,39.315859479,0.395332399,0.314730864,-0.080601536,post_freeze_velocity_readout_no_refit
NGC0055,C,1.84,0.136296,0.129188,37.600000000,29.667843703,0.825000000,52.822846007,48.770720604,0.339939736,0.260126095,-0.079813641,post_freeze_velocity_readout_no_refit
NGC0055,C,2.46,0.182222,0.125061,43.100000000,33.751662181,0.825000000,60.443986346,55.772829617,0.338194094,0.257763829,-0.080430264,post_freeze_velocity_readout_no_refit
NGC0055,C,3.07,0.227407,0.121032,50.100000000,37.092406231,0.825000000,66.816109151,61.614461140,0.287923198,0.206875594,-0.081047605,post_freeze_velocity_readout_no_refit
NGC0055,C,3.68,0.272593,0.118349,58.100000000,40.157989242,0.825000000,72.627712087,66.945510590,0.223180894,0.141713350,-0.081467544,post_freeze_velocity_readout_no_refit
NGC0055,C,4.3,0.318519,0.115638,64.600000000,42.909190158,0.825000000,77.923868300,71.796299625,0.187517892,0.105618527,-0.081899365,post_freeze_velocity_readout_no_refit
NGC0055,C,4.91,0.363704,0.10979,68.500000000,44.677378504,0.825000000,81.885074121,75.373727388,0.178482984,0.095625026,-0.082857958,post_freeze_velocity_readout_no_refit
NGC0055,C,5.52,0.408889,0.103602,72.300000000,46.017228839,0.825000000,85.209186300,78.350593744,0.164285119,0.080369418,-0.083915702,post_freeze_velocity_readout_no_refit
NGC0055,C,6.14,0.454815,0.0972935,74.200000000,47.031850378,0.825000000,88.054588161,80.875609049,0.171192792,0.086148133,-0.085044659,post_freeze_velocity_readout_no_refit
NGC0055,C,6.75,0.5,0.0914689,78.900000000,47.813948279,0.825000000,90.489859259,83.021574838,0.137056564,0.050919284,-0.086137280,post_freeze_velocity_readout_no_refit
NGC0055,C,7.37,0.545926,0.0864263,82.400000000,48.564917893,0.825000000,92.821568927,85.076654996,0.119093600,0.031967237,-0.087126363,post_freeze_velocity_readout_no_refit
NGC0055,C,7.98,0.591111,0.0818933,84.300000000,49.191657829,0.825000000,94.899475775,86.900607634,0.118436317,0.030383160,-0.088053157,post_freeze_velocity_readout_no_refit
NGC0055,C,8.59,0.636296,0.0784535,85.400000000,49.953824178,0.825000000,97.084248822,88.836424509,0.128233045,0.039450651,-0.088782394,post_freeze_velocity_readout_no_refit
NGC0055,C,9.21,0.682222,0.0738545,85.300000000,50.186193819,0.825000000,98.550057985,90.086381756,0.144390167,0.054594553,-0.089795615,post_freeze_velocity_readout_no_refit
NGC0055,C,9.82,0.727407,0.0686378,86.800000000,49.957786180,0.825000000,99.331405275,90.691021934,0.134855166,0.043851744,-0.091003422,post_freeze_velocity_readout_no_refit
NGC0055,C,10.43,0.772593,0.0634806,85.400000000,49.514048007,0.825000000,99.755184854,90.962985906,0.155372932,0.063106575,-0.092266357,post_freeze_velocity_readout_no_refit
NGC0055,C,11.05,0.818519,0.0576877,85.400000000,48.583487936,0.825000000,99.458499061,90.555372114,0.152394361,0.058615409,-0.093778952,post_freeze_velocity_readout_no_refit
NGC0055,C,11.66,0.863704,0.0527719,86.200000000,47.732736670,0.825000000,99.167294372,90.166246774,0.140138088,0.044984975,-0.095153113,post_freeze_velocity_readout_no_refit
NGC0055,C,12.28,0.90963,0.0495565,86.100000000,47.469570780,0.825000000,99.642589643,90.512311342,0.146080269,0.049976467,-0.096103802,post_freeze_velocity_readout_no_refit
NGC0055,C,12.89,0.954815,0.0472351,87.400000000,47.481534305,0.825000000,100.449926931,91.180458222,0.139164081,0.042345318,-0.096818764,post_freeze_velocity_readout_no_refit
NGC0055,C,13.5,1,0.0456436,86.500000000,47.766432774,0.825000000,101.615863729,92.192213312,0.161055248,0.063731259,-0.097323989,post_freeze_velocity_readout_no_refit
NGC1705,C,0.22,0.0366667,0.71694,50.200000000,24.166778850,0.825000000,31.764582941,30.434967225,0.457663102,0.500422842,0.042759740,post_freeze_velocity_readout_no_refit
NGC1705,C,0.66,0.11,0.485134,62.200000000,34.432496279,0.825000000,48.301239546,45.874209474,0.252897776,0.304451926,0.051554150,post_freeze_velocity_readout_no_refit
NGC1705,C,1.11,0.185,0.305277,72.400000000,35.422106798,0.825000000,53.950077541,50.707682661,0.294147170,0.356128869,0.061981698,post_freeze_velocity_readout_no_refit
NGC1705,C,1.55,0.258333,0.187663,73.200000000,32.818635712,0.825000000,54.617895818,50.803025299,0.292833830,0.365239515,0.072405685,post_freeze_velocity_readout_no_refit
NGC1705,C,2,0.333333,0.12394,72.900000000,30.296103710,0.825000000,54.342948460,50.134750629,0.293773777,0.374374246,0.080600469,post_freeze_velocity_readout_no_refit
NGC1705,C,2.45,0.408333,0.0847702,72.600000000,27.731326149,0.825000000,53.180491082,48.726887219,0.311273302,0.398733945,0.087460643,post_freeze_velocity_readout_no_refit
NGC1705,C,2.89,0.481667,0.0608935,71.500000000,25.527032730,0.825000000,51.788899771,47.193073038,0.322521614,0.415450326,0.092928712,post_freeze_velocity_readout_no_refit
NGC1705,C,3.34,0.556667,0.0452928,71.100000000,23.667570640,0.825000000,50.412056227,45.731771249,0.343856979,0.441294067,0.097437088,post_freeze_velocity_readout_no_refit
NGC1705,C,3.78,0.63,0.0350569,71.400000000,22.151270844,0.825000000,49.146717184,44.422514075,0.373487817,0.474551455,0.101063638,post_freeze_velocity_readout_no_refit
NGC1705,C,4.22,0.703333,0.0289736,71.500000000,21.277636147,0.825000000,48.623133310,43.837671307,0.385598038,0.489203926,0.103605888,post_freeze_velocity_readout_no_refit
NGC1705,C,4.66,0.776667,0.0246251,71.500000000,20.613335489,0.825000000,48.280424415,43.438683853,0.392671263,0.498347073,0.105675810,post_freeze_velocity_readout_no_refit
NGC1705,C,5.11,0.851667,0.0213844,71.300000000,20.115203206,0.825000000,48.112567294,43.213028579,0.393352910,0.500754290,0.107401380,post_freeze_velocity_readout_no_refit
NGC1705,C,5.56,0.926667,0.0187295,71.800000000,19.636593391,0.825000000,47.886507861,42.942772829,0.405050684,0.514016111,0.108965427,post_freeze_velocity_readout_no_refit
NGC1705,C,6,1,0.0177222,71.500000000,19.842703949,0.825000000,48.776967857,43.713471673,0.382439218,0.492041119,0.109601900,post_freeze_velocity_readout_no_refit
NGC2366,C,0.12,0.019802,0.0170808,4.200000000,2.754931941,0.850000000,6.808057386,6.200088569,0.483022295,0.389479052,-0.093543243,post_freeze_velocity_readout_no_refit
NGC2366,C,0.36,0.0594059,0.0468406,9.410000000,7.901841558,0.850000000,16.739588119,15.413926135,0.576003507,0.493498442,-0.082505065,post_freeze_velocity_readout_no_refit
NGC2366,C,0.59,0.0973597,0.0590848,15.300000000,11.361342350,0.850000000,23.166086285,21.395374694,0.414836583,0.335321934,-0.079514648,post_freeze_velocity_readout_no_refit
NGC2366,C,0.83,0.136964,0.0687225,18.400000000,14.532972855,0.850000000,28.889970999,26.736421278,0.451143846,0.373676064,-0.077467782,post_freeze_velocity_readout_no_refit
NGC2366,C,1.07,0.176568,0.0731464,23.400000000,17.023717279,0.850000000,33.484280015,31.015195604,0.358340053,0.281741243,-0.076598810,post_freeze_velocity_readout_no_refit
NGC2366,C,1.31,0.216172,0.0754616,28.100000000,19.132186232,0.850000000,37.431687622,34.686762414,0.286748032,0.210588551,-0.076159481,post_freeze_velocity_readout_no_refit
NGC2366,C,1.54,0.254125,0.0748255,33.100000000,20.656235136,0.850000000,40.472004254,37.499638886,0.201077200,0.124798021,-0.076279179,post_freeze_velocity_readout_no_refit
NGC2366,C,1.79,0.29538,0.0751692,37.500000000,22.320934120,0.850000000,43.699412108,40.492640410,0.152993716,0.076779306,-0.076214410,post_freeze_velocity_readout_no_refit
NGC2366,C,2.02,0.333333,0.0759727,40.500000000,23.838022149,0.850000000,46.584698380,43.172696946,0.139970152,0.063906306,-0.076063846,post_freeze_velocity_readout_no_refit
NGC2366,C,2.26,0.372937,0.0734763,42.300000000,24.796695344,0.850000000,48.735674682,45.144827781,0.141624216,0.065088631,-0.076535585,post_freeze_velocity_readout_no_refit
NGC2366,C,2.49,0.410891,0.0684866,45.200000000,25.128598250,0.850000000,49.982032168,46.254017080,0.100566497,0.023051229,-0.077515268,post_freeze_velocity_readout_no_refit
NGC2366,C,2.74,0.452145,0.0643421,47.400000000,25.549874755,0.850000000,51.358397867,47.487119400,0.080206236,0.001836275,-0.078369961,post_freeze_velocity_readout_no_refit
NGC2366,C,2.97,0.490099,0.0624508,48.100000000,26.206755808,0.850000000,52.943507532,48.932994774,0.095943272,0.017169732,-0.078773541,post_freeze_velocity_readout_no_refit
NGC2366,C,3.21,0.529703,0.0604668,48.800000000,26.808761627,0.850000000,54.453238276,50.306566779,0.109612007,0.030405308,-0.079206699,post_freeze_velocity_readout_no_refit
NGC2366,C,3.44,0.567657,0.0584461,50.700000000,27.284929906,0.850000000,55.735548252,51.467955500,0.094692242,0.015033480,-0.079658762,post_freeze_velocity_readout_no_refit
NGC2366,C,3.69,0.608911,0.0557282,52.100000000,27.594123469,0.850000000,56.814642009,52.431564228,0.086629126,0.006343832,-0.080285294,post_freeze_velocity_readout_no_refit
NGC2366,C,3.92,0.646865,0.0534911,53.000000000,27.864402021,0.850000000,57.760838408,53.276372950,0.086019096,0.005201035,-0.080818061,post_freeze_velocity_readout_no_refit
NGC2366,C,4.16,0.686469,0.0504328,53.700000000,27.872053207,0.850000000,58.338261114,53.768329928,0.082845156,0.001271629,-0.081573527,post_freeze_velocity_readout_no_refit
NGC2366,C,4.4,0.726073,0.0477724,51.200000000,27.898492791,0.850000000,58.912424110,54.260334412,0.140312472,0.058053938,-0.082258534,post_freeze_velocity_readout_no_refit
NGC2366,C,4.64,0.765677,0.0454744,51.600000000,27.951716405,0.850000000,59.498793358,54.766731815,0.142434360,0.059561253,-0.082873107,post_freeze_velocity_readout_no_refit
NGC2366,C,4.87,0.80363,0.0443976,51.500000000,28.295027832,0.850000000,60.463182209,55.637959052,0.160452814,0.077283877,-0.083168936,post_freeze_velocity_readout_no_refit
NGC2366,C,5.11,0.843234,0.0431236,50.400000000,28.564959303,0.850000000,61.326843390,56.412560777,0.196226474,0.112700667,-0.083525807,post_freeze_velocity_readout_no_refit
NGC2366,C,5.35,0.882838,0.0411713,48.500000000,28.558791116,0.850000000,61.770656673,56.788876839,0.241864643,0.157776678,-0.084087964,post_freeze_velocity_readout_no_refit
NGC2366,C,5.59,0.922442,0.0388994,50.000000000,28.375485018,0.850000000,61.931703693,56.898270892,0.214009219,0.129241947,-0.084767272,post_freeze_velocity_readout_no_refit
NGC2366,C,5.82,0.960396,0.0364023,49.000000000,28.008630813,0.850000000,61.775733470,56.710668071,0.231690327,0.146142044,-0.085548283,post_freeze_velocity_readout_no_refit
NGC2366,C,6.06,1,0.0345278,49.400000000,27.834705854,0.850000000,61.903740221,56.793385066,0.225630177,0.139469435,-0.086160743,post_freeze_velocity_readout_no_refit
NGC2403,A,0.16,0.00766651,0.454641,24.500000000,16.411948391,1.050000000,23.283340264,23.626909858,0.050935023,0.036286807,-0.014648216,post_freeze_velocity_readout_no_refit
NGC2403,A,0.26,0.0124581,0.648264,35.300000000,24.982082579,1.050000000,33.374682165,33.794312145,0.056085370,0.043590455,-0.012494915,post_freeze_velocity_readout_no_refit
NGC2403,A,0.36,0.0172496,0.830282,43.200000000,33.268255891,1.050000000,42.735256258,43.208606276,0.010816242,0.000199200,-0.010617043,post_freeze_velocity_readout_no_refit
NGC2403,A,0.46,0.0220412,0.94614,52.000000000,40.144181397,1.050000000,50.567078358,51.088223206,0.027942979,0.017689714,-0.010253266,post_freeze_velocity_readout_no_refit
NGC2403,A,0.56,0.0268328,0.983941,60.900000000,45.169414984,1.050000000,56.572834043,57.143004996,0.073704269,0.063676189,-0.010028079,post_freeze_velocity_readout_no_refit
NGC2403,A,0.66,0.0316243,0.937525,65.800000000,47.866238624,1.050000000,60.375236015,61.000685885,0.086040817,0.075734730,-0.010306087,post_freeze_velocity_readout_no_refit
NGC2403,A,0.76,0.0364159,0.895336,71.700000000,50.195617837,1.050000000,63.747573497,64.425171280,0.117559627,0.106986332,-0.010573295,post_freeze_velocity_readout_no_refit
