GalaxyName,Class,PointIndex,RadiusKpc,RadiusFraction,aN_over_a0,HistoryStatePriorMeanSignedResidual,Predicted_S_tau_history_v01,ModelVelocity_S_tau1,ModelVelocity_HistoryRule,SignedLogResidual_S_tau1,SignedLogResidual_HistoryRule,AbsLogResidual_S_tau1,AbsLogResidual_HistoryRule,DeltaAbsLogResidual_HistoryMinusS1,InterpretationGuardrail
DDO154,A,12,5.92,1,0.0120527,-0.023917478,0.988041261,42.179364903,41.869334234,0.075781208,0.083158647,0.075781208,0.083158647,0.007377439,causal_inner_residual_history_readout_not_external_prediction
ESO079-G014,A,1,0.41,0.0245951,0.279244,0.000000000,1.000000000,31.870738461,31.870738461,0.040861577,0.040861577,0.040861577,0.040861577,0.000000000,causal_inner_residual_history_readout_not_external_prediction
ESO079-G014,A,2,0.98,0.0587882,0.317555,0.040861577,1.020430788,51.334352061,51.689610650,-0.018368984,-0.025265632,0.018368984,0.025265632,0.006896648,causal_inner_residual_history_readout_not_external_prediction
ESO079-G014,A,3,1.78,0.106779,0.299369,0.011246296,1.005623148,67.894570427,68.026570773,-0.230825589,-0.232767898,0.230825589,0.232767898,0.001942308,causal_inner_residual_history_readout_not_external_prediction
ESO079-G014,A,4,2.69,0.161368,0.293328,-0.069444332,0.965277834,82.923968818,81.921503319,-0.204316167,-0.192153529,0.204316167,0.192153529,-0.012162637,causal_inner_residual_history_readout_not_external_prediction
ESO079-G014,A,5,3.36,0.20156,0.278385,-0.103162291,0.948418855,91.147358129,89.481507524,-0.109423515,-0.090977982,0.109423515,0.090977982,-0.018445533,causal_inner_residual_history_readout_not_external_prediction
ESO079-G014,A,6,4.39,0.263347,0.23743,-0.104414536,0.947792732,99.047637526,97.120002007,0.029371892,0.049025465,0.029371892,0.049025465,0.019653574,causal_inner_residual_history_readout_not_external_prediction
ESO079-G014,A,7,5.65,0.338932,0.207612,-0.082116798,0.958941601,107.679304606,105.964108399,0.074432783,0.090489754,0.074432783,0.090489754,0.016056971,causal_inner_residual_history_readout_not_external_prediction
ESO079-G014,A,8,6.34,0.380324,0.201514,-0.059752572,0.970123714,112.990100265,111.669270589,0.155501716,0.167260361,0.155501716,0.167260361,0.011758645,causal_inner_residual_history_readout_not_external_prediction
ESO079-G014,A,9,6.89,0.413317,0.203589,-0.032845786,0.983577107,118.173040376,117.415889662,0.147830932,0.154258681,0.147830932,0.154258681,0.006427750,causal_inner_residual_history_readout_not_external_prediction
ESO079-G014,A,10,8.34,0.5003,0.21933,-0.012770595,0.993614702,133.125642208,132.801103071,0.145659242,0.148100059,0.145659242,0.148100059,0.002440817,causal_inner_residual_history_readout_not_external_prediction
ESO079-G014,A,11,10.04,0.60228,0.238634,0.003072389,1.001536194,150.029423901,150.115206097,0.082918767,0.082347161,0.082918767,0.082347161,-0.000571606,causal_inner_residual_history_readout_not_external_prediction
ESO079-G014,A,12,11.65,0.69886,0.228215,0.010331150,1.005165575,159.337001262,159.647538376,0.064776973,0.062829937,0.064776973,0.062829937,-0.001947036,causal_inner_residual_history_readout_not_external_prediction
ESO079-G014,A,13,13.36,0.80144,0.20525,0.014868302,1.007434151,164.980406095,165.457792210,0.058959258,0.056069844,0.058959258,0.056069844,-0.002889414,causal_inner_residual_history_readout_not_external_prediction
ESO079-G014,A,14,15.06,0.903419,0.175943,0.018259914,1.009129957,166.792048772,167.410510310,0.059401913,0.055700791,0.059401913,0.055700791,-0.003701122,causal_inner_residual_history_readout_not_external_prediction
ESO079-G014,A,15,16.67,1,0.151573,0.021198628,1.010599314,167.337940669,168.086375117,0.061768186,0.057305565,0.061768186,0.057305565,-0.004462620,causal_inner_residual_history_readout_not_external_prediction
ESO116-G012,A,1,0.25,0.025355,0.162164,0.000000000,1.000000000,20.938925286,20.938925286,-0.001860722,-0.001860722,0.001860722,0.001860722,0.000000000,causal_inner_residual_history_readout_not_external_prediction
ESO116-G012,A,2,0.83,0.0841785,0.197785,-0.001860722,0.999069639,40.640473222,40.625600809,-0.015884993,-0.015518976,0.015884993,0.015518976,-0.000366018,causal_inner_residual_history_readout_not_external_prediction
ESO116-G012,A,3,1.38,0.139959,0.257441,-0.008872857,0.995563571,56.978904904,56.887030247,-0.101099302,-0.099485568,0.101099302,0.099485568,-0.001613734,causal_inner_residual_history_readout_not_external_prediction
ESO116-G012,A,4,1.85,0.187627,0.281801,-0.039615006,0.980192497,67.896281353,67.421693523,0.000054768,0.007069206,0.000054768,0.007069206,0.007014438,causal_inner_residual_history_readout_not_external_prediction
ESO116-G012,A,5,2.68,0.271805,0.200208,-0.029697562,0.985151219,73.310532255,72.883818146,0.089819229,0.095656874,0.089819229,0.095656874,0.005837644,causal_inner_residual_history_readout_not_external_prediction
ESO116-G012,A,6,3.19,0.323529,0.19247,-0.005794204,0.997102898,78.986998766,78.896301156,0.053165283,0.054314203,0.053165283,0.054314203,0.001148920,causal_inner_residual_history_readout_not_external_prediction
ESO116-G012,A,7,3.68,0.373225,0.185614,0.004032377,1.002016189,83.864518976,83.932208294,0.086042851,0.085236050,0.086042851,0.085236050,-0.000806801,causal_inner_residual_history_readout_not_external_prediction
ESO116-G012,A,8,4.13,0.418864,0.176354,0.015748159,1.007874080,87.409736983,87.689093426,0.154366130,0.151175284,0.154366130,0.151175284,-0.003190846,causal_inner_residual_history_readout_not_external_prediction
ESO116-G012,A,9,5.23,0.530426,0.1414,0.033075405,1.016537703,91.671335952,92.321969727,0.135750605,0.128678212,0.135750605,0.128678212,-0.007072393,causal_inner_residual_history_readout_not_external_prediction
ESO116-G012,A,10,6.05,0.61359,0.113811,0.044483761,1.022241880,91.956967983,92.879191520,0.170027154,0.160048249,0.170027154,0.160048249,-0.009978904,causal_inner_residual_history_readout_not_external_prediction
ESO116-G012,A,11,6.81,0.690669,0.0939989,0.057038100,1.028519050,91.701922408,92.928706315,0.163587884,0.150298627,0.163587884,0.150298627,-0.013289257,causal_inner_residual_history_readout_not_external_prediction
ESO116-G012,A,12,7.56,0.766734,0.0850028,0.066724444,1.033362222,93.501622192,94.993628849,0.153369096,0.137538058,0.153369096,0.137538058,-0.015831039,causal_inner_residual_history_readout_not_external_prediction
ESO116-G012,A,13,8.32,0.843813,0.0796615,0.073944832,1.036972416,96.026530447,97.745267138,0.135855854,0.118115586,0.135855854,0.118115586,-0.017740268,causal_inner_residual_history_readout_not_external_prediction
ESO116-G012,A,14,9.09,0.921907,0.0732046,0.078707218,1.039353609,97.621341342,99.509646213,0.128434071,0.109275615,0.128434071,0.109275615,-0.019158456,causal_inner_residual_history_readout_not_external_prediction
ESO116-G012,A,15,9.86,1,0.0605889,0.082259136,1.041129568,95.499581014,97.492998293,0.159377011,0.138718308,0.159377011,0.138718308,-0.020658703,causal_inner_residual_history_readout_not_external_prediction
IC2574,C,1,0.85,0.083089,0.0146102,0.000000000,1.000000000,17.133225471,17.133225471,-0.508875693,-0.508875693,0.508875693,0.508875693,0.000000000,causal_inner_residual_history_readout_not_external_prediction
IC2574,C,2,1.14,0.111437,0.0170283,-0.508875693,0.745562153,20.960805495,17.784760856,-0.485426977,-0.321114648,0.485426977,0.321114648,-0.164312330,causal_inner_residual_history_readout_not_external_prediction
IC2574,C,3,1.42,0.138807,0.0183564,-0.497151335,0.751424332,24.027909887,20.497252999,-0.381934732,-0.223009542,0.381934732,0.223009542,-0.158925190,causal_inner_residual_history_readout_not_external_prediction
IC2574,C,4,1.71,0.167155,0.0202817,-0.458745801,0.770627100,27.316648316,23.650262132,-0.384334764,-0.240212618,0.384334764,0.240212618,-0.144122146,causal_inner_residual_history_readout_not_external_prediction
IC2574,C,5,1.99,0.194526,0.0226459,-0.440143042,0.779928479,30.636537678,26.737138276,-0.436511401,-0.300371608,0.436511401,0.300371608,-0.136139793,causal_inner_residual_history_readout_not_external_prediction
IC2574,C,6,2.28,0.222874,0.0227137,-0.439416713,0.780291643,32.827483816,28.657467137,-0.229330771,-0.093478728,0.229330771,0.093478728,-0.135852043,causal_inner_residual_history_readout_not_external_prediction
IC2574,C,7,2.55,0.249267,0.023516,-0.404402390,0.797798805,35.142602236,31.049740319,-0.237981720,-0.114158032,0.237981720,0.114158032,-0.123823688,causal_inner_residual_history_readout_not_external_prediction
IC2574,C,8,2.84,0.277615,0.0232847,-0.380628008,0.809685996,36.958663853,32.902953964,-0.218653049,-0.102415394,0.218653049,0.102415394,-0.116237655,causal_inner_residual_history_readout_not_external_prediction
IC2574,C,9,3.13,0.305963,0.0228831,-0.360381138,0.819809431,38.563422430,34.549110187,-0.155796660,-0.045874234,0.155796660,0.045874234,-0.109922426,causal_inner_residual_history_readout_not_external_prediction
IC2574,C,10,3.41,0.333333,0.0222472,-0.337649530,0.831175235,39.854488008,35.955611073,-0.135617635,-0.032667765,0.135617635,0.032667765,-0.102949870,causal_inner_residual_history_readout_not_external_prediction
IC2574,C,11,3.7,0.361681,0.0202666,-0.317446340,0.841276830,40.171279347,36.439995876,-0.137804235,-0.040318898,0.137804235,0.040318898,-0.097485337,causal_inner_residual_history_readout_not_external_prediction
IC2574,C,12,3.98,0.389052,0.0184266,-0.301115240,0.849442380,40.281174358,36.697571111,-0.032322576,0.060851076,0.032322576,0.060851076,0.028528499,causal_inner_residual_history_readout_not_external_prediction
IC2574,C,13,4.26,0.416422,0.0183809,-0.278715851,0.860642074,41.637259136,38.207711929,-0.148258123,-0.062300083,0.148258123,0.062300083,-0.085958041,causal_inner_residual_history_readout_not_external_prediction
IC2574,C,14,4.55,0.44477,0.0212668,-0.268680641,0.865659679,45.311650270,41.767369104,-0.124684726,-0.043235937,0.124684726,0.043235937,-0.081448789,causal_inner_residual_history_readout_not_external_prediction
IC2574,C,15,4.84,0.473118,0.0241606,-0.258395219,0.870802391,48.876947288,45.250579467,-0.233466260,-0.156375876,0.233466260,0.156375876,-0.077090384,causal_inner_residual_history_readout_not_external_prediction
IC2574,C,16,5.12,0.500489,0.0254023,-0.256733288,0.871633356,51.160139389,47.409900738,-0.202064362,-0.125934744,0.202064362,0.125934744,-0.076129618,causal_inner_residual_history_readout_not_external_prediction
IC2574,C,17,5.41,0.528837,0.025143,-0.253316480,0.873341760,52.400862525,48.606402860,-0.200051226,-0.124883442,0.200051226,0.124883442,-0.075167783,causal_inner_residual_history_readout_not_external_prediction
IC2574,C,18,5.68,0.55523,0.0258958,-0.250183230,0.874908385,54.248699913,50.381971194,-0.200339558,-0.126393927,0.200339558,0.126393927,-0.073945631,causal_inner_residual_history_readout_not_external_prediction
IC2574,C,19,5.97,0.583578,0.0261837,-0.247414137,0.876292931,55.831286948,51.900768173,-0.191521460,-0.118520641,0.191521460,0.118520641,-0.073000819,causal_inner_residual_history_readout_not_external_prediction
IC2574,C,20,6.26,0.611926,0.0271992,-0.244472417,0.877763791,57.934338527,53.921904720,-0.167489977,-0.095716493,0.167489977,0.095716493,-0.071773484,causal_inner_residual_history_readout_not_external_prediction
IC2574,C,21,6.54,0.639296,0.0281617,-0.240623295,0.879688352,59.936320970,55.867178871,-0.143963891,-0.073658278,0.143963891,0.073658278,-0.070305614,causal_inner_residual_history_readout_not_external_prediction
IC2574,C,22,6.83,0.667644,0.0275049,-0.236020466,0.881989767,60.750353306,56.693631599,-0.134595970,-0.065484959,0.134595970,0.065484959,-0.069111011,causal_inner_residual_history_readout_not_external_prediction
IC2574,C,23,7.1,0.694037,0.0272589,-0.231410262,0.884294869,61.746098655,57.699189871,-0.134046747,-0.066259086,0.134046747,0.066259086,-0.067787661,causal_inner_residual_history_readout_not_external_prediction
IC2574,C,24,7.39,0.722385,0.0268041,-0.227177066,0.886411467,62.626449180,58.589061190,-0.113623320,-0.046983630,0.113623320,0.046983630,-0.066639690,causal_inner_residual_history_readout_not_external_prediction
IC2574,C,25,7.68,0.750733,0.0272804,-0.222445660,0.888777170,64.236288930,60.189637157,-0.088426444,-0.023358342,0.088426444,0.023358342,-0.065068102,causal_inner_residual_history_readout_not_external_prediction
IC2574,C,26,7.96,0.778104,0.0274042,-0.217084891,0.891457554,65.499895113,61.475202553,-0.133747918,-0.070333259,0.133747918,0.070333259,-0.063414658,causal_inner_residual_history_readout_not_external_prediction
IC2574,C,27,8.25,0.806452,0.027259,-0.213879623,0.893060189,66.559143086,62.527257260,-0.209106876,-0.146618531,0.209106876,0.146618531,-0.062488344,causal_inner_residual_history_readout_not_external_prediction
IC2574,C,28,8.52,0.832845,0.0261578,-0.213702854,0.893148573,66.674577905,62.619795887,-0.044070549,0.018671734,0.044070549,0.018671734,-0.025398815,causal_inner_residual_history_readout_not_external_prediction
IC2574,C,29,8.81,0.861193,0.0255533,-0.207644558,0.896177721,67.248717762,63.264362463,-0.105754587,-0.044678811,0.105754587,0.044678811,-0.061075775,causal_inner_residual_history_readout_not_external_prediction
IC2574,C,30,9.1,0.889541,0.0251895,-0.204131111,0.897934445,68.004961727,64.037548711,-0.108706805,-0.048595746,0.108706805,0.048595746,-0.060111059,causal_inner_residual_history_readout_not_external_prediction
IC2574,C,31,9.38,0.916911,0.0254448,-0.200950300,0.899524850,69.286967464,65.312279280,-0.048602087,0.010474679,0.048602087,0.010474679,-0.038127407,causal_inner_residual_history_readout_not_external_prediction
IC2574,C,32,9.67,0.945259,0.0265537,-0.196035842,0.901982079,71.404974914,67.428372321,-0.090908075,-0.033606415,0.090908075,0.033606415,-0.057301660,causal_inner_residual_history_readout_not_external_prediction
IC2574,C,33,9.96,0.973607,0.0264141,-0.192750599,0.903624700,72.334786927,68.371510216,-0.075121116,-0.018772177,0.075121116,0.018772177,-0.056348940,causal_inner_residual_history_readout_not_external_prediction
IC2574,C,34,10.23,1,0.0270722,-0.189186069,0.905406965,73.939972967,69.974944133,-0.091125990,-0.036009639,0.091125990,0.036009639,-0.055116351,causal_inner_residual_history_readout_not_external_prediction
NGC0055,C,1,1.23,0.0911111,0.123933,0.000000000,1.000000000,42.615989454,42.615989454,-0.395332399,-0.395332399,0.395332399,0.395332399,0.000000000,causal_inner_residual_history_readout_not_external_prediction
NGC0055,C,2,1.84,0.136296,0.129188,-0.395332399,0.802333800,52.822846007,48.245884697,-0.339939736,-0.249306483,0.339939736,0.249306483,-0.090633254,causal_inner_residual_history_readout_not_external_prediction
NGC0055,C,3,2.46,0.182222,0.125061,-0.367636068,0.816181966,60.443986346,55.537455797,-0.338194094,-0.253534675,0.338194094,0.253534675,-0.084659418,causal_inner_residual_history_readout_not_external_prediction
NGC0055,C,4,3.07,0.227407,0.121032,-0.357822076,0.821088962,66.816109151,61.498210602,-0.287923198,-0.204987070,0.287923198,0.204987070,-0.082936128,causal_inner_residual_history_readout_not_external_prediction
NGC0055,C,5,3.68,0.272593,0.118349,-0.340347357,0.829826322,72.627712087,67.102219913,-0.223180894,-0.144051463,0.223180894,0.144051463,-0.079129431,causal_inner_residual_history_readout_not_external_prediction
NGC0055,C,6,4.3,0.318519,0.115638,-0.316914064,0.841542968,77.923868300,72.375546319,-0.187517892,-0.113654074,0.187517892,0.113654074,-0.073863818,causal_inner_residual_history_readout_not_external_prediction
NGC0055,C,7,4.91,0.363704,0.10979,-0.295348036,0.852325982,81.885074121,76.390464216,-0.178482984,-0.109024129,0.178482984,0.109024129,-0.069458855,causal_inner_residual_history_readout_not_external_prediction
NGC0055,C,8,5.52,0.408889,0.103602,-0.278653028,0.860673486,85.209186300,79.748707486,-0.164285119,-0.098056405,0.164285119,0.098056405,-0.066228714,causal_inner_residual_history_readout_not_external_prediction
NGC0055,C,9,6.14,0.454815,0.0972935,-0.264357040,0.867821480,88.054588161,82.632263403,-0.171192792,-0.107636052,0.171192792,0.107636052,-0.063556740,causal_inner_residual_history_readout_not_external_prediction
NGC0055,C,10,6.75,0.5,0.0914689,-0.254005457,0.872997272,90.489859259,85.069902133,-0.137056564,-0.075292069,0.137056564,0.075292069,-0.061764495,causal_inner_residual_history_readout_not_external_prediction
NGC0055,C,11,7.37,0.545926,0.0864263,-0.242310567,0.878844716,92.821568927,87.459641817,-0.119093600,-0.059592014,0.119093600,0.059592014,-0.059501586,causal_inner_residual_history_readout_not_external_prediction
NGC0055,C,12,7.98,0.591111,0.0818933,-0.231109025,0.884445488,94.899475775,89.617731160,-0.118436317,-0.061171328,0.118436317,0.061171328,-0.057264989,causal_inner_residual_history_readout_not_external_prediction
NGC0055,C,13,8.59,0.636296,0.0784535,-0.221719632,0.889140184,97.084248822,91.859378608,-0.128233045,-0.072912814,0.128233045,0.072912814,-0.055320232,causal_inner_residual_history_readout_not_external_prediction
NGC0055,C,14,9.21,0.682222,0.0738545,-0.214528357,0.892735822,98.550057985,93.362347838,-0.144390167,-0.090313681,0.144390167,0.090313681,-0.054076486,causal_inner_residual_history_readout_not_external_prediction
NGC0055,C,15,9.82,0.727407,0.0686378,-0.209518486,0.895240757,99.331405275,94.159062318,-0.134855166,-0.081378883,0.134855166,0.081378883,-0.053476283,causal_inner_residual_history_readout_not_external_prediction
NGC0055,C,16,10.43,0.772593,0.0634806,-0.204540931,0.897729534,99.755184854,94.617000396,-0.155372932,-0.102491067,0.155372932,0.102491067,-0.052881865,causal_inner_residual_history_readout_not_external_prediction
NGC0055,C,17,11.05,0.818519,0.0576877,-0.201467931,0.899266034,99.458499061,94.333657439,-0.152394361,-0.099491944,0.152394361,0.099491944,-0.052902418,causal_inner_residual_history_readout_not_external_prediction
NGC0055,C,18,11.66,0.863704,0.0527719,-0.198581251,0.900709375,99.167294372,94.060324974,-0.140138088,-0.087266154,0.140138088,0.087266154,-0.052871935,causal_inner_residual_history_readout_not_external_prediction
NGC0055,C,19,12.28,0.90963,0.0495565,-0.195334408,0.902332796,99.642589643,94.546996758,-0.146080269,-0.093587620,0.146080269,0.093587620,-0.052492649,causal_inner_residual_history_readout_not_external_prediction
NGC0055,C,20,12.89,0.954815,0.0472351,-0.192742085,0.903628957,100.449926931,95.345307709,-0.139164081,-0.087009837,0.139164081,0.087009837,-0.052154244,causal_inner_residual_history_readout_not_external_prediction
NGC0055,C,21,13.5,1,0.0456436,-0.190063185,0.904968408,101.615863729,96.498466550,-0.161055248,-0.109382704,0.161055248,0.109382704,-0.051672544,causal_inner_residual_history_readout_not_external_prediction
NGC1705,C,1,0.22,0.0366667,0.71694,0.000000000,1.000000000,31.764582941,31.764582941,0.457663102,0.457663102,0.457663102,0.457663102,0.000000000,causal_inner_residual_history_readout_not_external_prediction
NGC1705,C,2,0.66,0.11,0.485134,0.457663102,1.228831551,48.301239546,51.474845575,0.252897776,0.189261747,0.252897776,0.189261747,-0.063636029,causal_inner_residual_history_readout_not_external_prediction
NGC1705,C,3,1.11,0.185,0.305277,0.355280439,1.177640219,53.950077541,57.241390328,0.294147170,0.234929056,0.294147170,0.234929056,-0.059218115,causal_inner_residual_history_readout_not_external_prediction
NGC1705,C,4,1.55,0.258333,0.187663,0.334902683,1.167451341,54.617895818,58.268211163,0.292833830,0.228138739,0.292833830,0.228138739,-0.064695090,causal_inner_residual_history_readout_not_external_prediction
NGC1705,C,5,2,0.333333,0.12394,0.324385469,1.162192735,54.342948460,58.243171971,0.293773777,0.224461773,0.293773777,0.224461773,-0.069312004,causal_inner_residual_history_readout_not_external_prediction
NGC1705,C,6,2.45,0.408333,0.0847702,0.318263131,1.159131565,53.180491082,57.230256538,0.311273302,0.237882203,0.311273302,0.237882203,-0.073391099,causal_inner_residual_history_readout_not_external_prediction
NGC1705,C,7,2.89,0.481667,0.0608935,0.317098159,1.158549080,51.788899771,55.952694621,0.322521614,0.245190855,0.322521614,0.245190855,-0.077330759,causal_inner_residual_history_readout_not_external_prediction
NGC1705,C,8,3.34,0.556667,0.0452928,0.317872939,1.158936469,50.412056227,54.662730338,0.343856979,0.262905206,0.343856979,0.262905206,-0.080951773,causal_inner_residual_history_readout_not_external_prediction
NGC1705,C,9,3.78,0.63,0.0350569,0.321120944,1.160560472,49.146717184,53.481118786,0.373487817,0.288969198,0.373487817,0.288969198,-0.084518619,causal_inner_residual_history_readout_not_external_prediction
NGC1705,C,10,4.22,0.703333,0.0289736,0.326939485,1.163469743,48.623133310,53.093294692,0.385598038,0.297646806,0.385598038,0.297646806,-0.087951232,causal_inner_residual_history_readout_not_external_prediction
NGC1705,C,11,4.66,0.776667,0.0246251,0.332805340,1.166402670,48.280424415,52.884301889,0.392671263,0.301590906,0.392671263,0.301590906,-0.091080357,causal_inner_residual_history_readout_not_external_prediction
NGC1705,C,12,5.11,0.851667,0.0213844,0.338247697,1.169123848,48.112567294,52.847589257,0.393352910,0.299484231,0.393352910,0.299484231,-0.093868679,causal_inner_residual_history_readout_not_external_prediction
NGC1705,C,13,5.56,0.926667,0.0187295,0.342839798,1.171419899,47.886507861,52.729105348,0.405050684,0.308716889,0.405050684,0.308716889,-0.096333795,causal_inner_residual_history_readout_not_external_prediction
NGC1705,C,14,6,1,0.0177222,0.347625251,1.173812625,48.776967857,53.806108232,0.382439218,0.284310453,0.382439218,0.284310453,-0.098128765,causal_inner_residual_history_readout_not_external_prediction
NGC2366,C,1,0.12,0.019802,0.0170808,0.000000000,1.000000000,6.808057386,6.808057386,-0.483022295,-0.483022295,0.483022295,0.483022295,0.000000000,causal_inner_residual_history_readout_not_external_prediction
NGC2366,C,2,0.36,0.0594059,0.0468406,-0.483022295,0.758488852,16.739588119,14.605173805,-0.576003507,-0.439602883,0.576003507,0.439602883,-0.136400624,causal_inner_residual_history_readout_not_external_prediction
NGC2366,C,3,0.59,0.0973597,0.0590848,-0.529512901,0.735243550,23.166086285,20.040704182,-0.414836583,-0.269912586,0.414836583,0.269912586,-0.144923997,causal_inner_residual_history_readout_not_external_prediction
NGC2366,C,4,0.83,0.136964,0.0687225,-0.491287461,0.754356269,28.889970999,25.363264413,-0.451143846,-0.320951180,0.451143846,0.320951180,-0.130192666,causal_inner_residual_history_readout_not_external_prediction
NGC2366,C,5,1.07,0.176568,0.0731464,-0.481251558,0.759374221,33.484280015,29.523444287,-0.358340053,-0.232448647,0.358340053,0.232448647,-0.125891406,causal_inner_residual_history_readout_not_external_prediction
NGC2366,C,6,1.31,0.216172,0.0754616,-0.456669257,0.771665372,37.431687622,33.253277773,-0.286748032,-0.168383766,0.286748032,0.168383766,-0.118364266,causal_inner_residual_history_readout_not_external_prediction
NGC2366,C,7,1.54,0.254125,0.0748255,-0.428349053,0.785825474,40.472004254,36.227971290,-0.201077200,-0.090298226,0.201077200,0.090298226,-0.110778974,causal_inner_residual_history_readout_not_external_prediction
NGC2366,C,8,1.79,0.29538,0.0751692,-0.395881645,0.802059177,43.699412108,39.467738591,-0.152993716,-0.051142661,0.152993716,0.051142661,-0.101851055,causal_inner_residual_history_readout_not_external_prediction
NGC2366,C,9,2.02,0.333333,0.0759727,-0.365520654,0.817239673,46.584698380,42.427508395,-0.139970152,-0.046494961,0.139970152,0.046494961,-0.093475191,causal_inner_residual_history_readout_not_external_prediction
NGC2366,C,10,2.26,0.372937,0.0734763,-0.340459487,0.829770256,48.735674682,44.660548369,-0.141624216,-0.054303439,0.141624216,0.054303439,-0.087320776,causal_inner_residual_history_readout_not_external_prediction
NGC2366,C,11,2.49,0.410891,0.0684866,-0.320575960,0.839712020,49.982032168,45.998325450,-0.100566497,-0.017507906,0.100566497,0.017507906,-0.083058592,causal_inner_residual_history_readout_not_external_prediction
