ExternalName,LVHIS_ID_Display,OpticalID,CanonicalSPARCNameCandidate,HIPASS_ID,Source,SourceURL,AllowedUse,InterpretationGuardrail
LVHIS020,LVHIS 020,ESO 364-G?029,ESO364-G029,HIPASS J0605-33,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
LVHIS021,LVHIS 021,AM 0605-341,AM0605-341,HIPASS J0607-34,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
LVHIS022,LVHIS 022,NGC 2188,NGC2188,HIPASS J0610-34,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
LVHIS023,LVHIS 023,ESO 121-G020,ESO121-G020,HIPASS J0615-57,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
LVHIS024,LVHIS 024,ESO 308-G022,ESO308-G022,HIPASS J0639-40,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
LVHIS025,LVHIS 025,AM 0704-582,AM0704-582,HIPASS J0705-58,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
LVHIS026,LVHIS 026,ESO 059-G001,ESO059-G001,HIPASS J0731-68,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
LVHIS027,LVHIS 027,NGC 2915,NGC2915,HIPASS J0926-76,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
LVHIS028,LVHIS 028,ESO 376-G016,ESO376-G016,HIPASS J1043-37,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
LVHIS029,LVHIS 029,ESO 318-G013,ESO318-G013,HIPASS J1047-38,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
LVHIS030,LVHIS 030,ESO 215-G?009,ESO215-G009,HIPASS J1057-48,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
LVHIS031,LVHIS 031,NGC 3621,NGC3621,HIPASS J1118-32,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
LVHIS032,LVHIS 032,new,NEW,HIPASS J1131-31,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
LVHIS033,LVHIS 033,new,NEW,HIPASS J1132-32,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
LVHIS034,LVHIS 034,ESO 320-G014,ESO320-G014,HIPASS J1137-39,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
LVHIS035,LVHIS 035,ESO 379-G007,ESO379-G007,HIPASS J1154-33,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
LVHIS036,LVHIS 036,ESO 379-G024,ESO379-G024,HIPASS J1204-35,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
LVHIS037,LVHIS 037,ESO 321-G014,ESO321-G014,HIPASS J1214-38,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
LVHIS038,LVHIS 038,IC 3104,IC3104,HIPASS J1219-79,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
LVHIS039,LVHIS 039,ESO 381-G018,ESO381-G018,HIPASS J1244-35,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
LVHIS040,LVHIS 040,ESO 381-G020,ESO381-G020,HIPASS J1246-33,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
LVHIS041,LVHIS 041,new,NEW,HIPASS J1247-77,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
LVHIS042,LVHIS 042,CEN06,CEN06,HIPASS J1305-40,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
LVHIS043,LVHIS 043,NGC 4945,NGC4945,HIPASS J1305-49,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
LVHIS044,LVHIS 044,ESO 269-G058,ESO269-G058,HIPASS J1310-46,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
LVHIS045,LVHIS 045,new,NEW,HIPASS J1321-31,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
LVHIS046,LVHIS 046,NGC 5102,NGC5102,HIPASS J1321-36,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
LVHIS047,LVHIS 047,AM 1321-304,AM1321-304,HIPASS J1324-30,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
LVHIS048,LVHIS 048,NGC 5128,NGC5128,HIPASS J1324-42,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
LVHIS049,LVHIS 049,IC 4247,IC4247,HIPASS J1326-30,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
LVHIS050,LVHIS 050,ESO 324-G024,ESO324-G024,HIPASS J1327-41,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
LVHIS051,LVHIS 051,ESO 270-G017,ESO270-G017,HIPASS J1334-45,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
LVHIS052,LVHIS 052,UGCA 365,UGCA365,HIPASS J1336-29,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
LVHIS053,LVHIS 053,NGC 5236,NGC5236,HIPASS J1337-29,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
LVHIS054,LVHIS 054,new,NEW,HIPASS J1337-39,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
LVHIS055,LVHIS 055,NGC 5237,NGC5237,HIPASS J1337-42,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
LVHIS056,LVHIS 056,ESO 444-G084,ESO444-G084,HIPASS J1337-28,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
LVHIS057,LVHIS 057,NGC 5253,NGC5253,HIPASS J1339-31,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
LVHIS058,LVHIS 058,IC 4316,IC4316,HIPASS J1340-28,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
LVHIS059,LVHIS 059,NGC 5264,NGC5264,HIPASS J1341-29,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
LVHIS060,LVHIS 060,ESO 325-G?011,ESO325-G011,HIPASS J1345-41,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
LVHIS061,LVHIS 061,new,NEW,HIPASS J1348-37,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
LVHIS062,LVHIS 062,ESO 174-G?001,ESO174-G001,HIPASS J1348-53,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
LVHIS063,LVHIS 063,ESO 383-G087,ESO383-G087,HIPASS J1349-36,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
LVHIS064,LVHIS 064,new,NEW,HIPASS J1351-47,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
LVHIS065,LVHIS 065,NGC 5408,NGC5408,HIPASS J1403-41,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
LVHIS066,LVHIS 066,Circinus Galaxy,CIRCINUS,HIPASS J1413-65,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
LVHIS067,LVHIS 067,UKS 1424-460,UKS1424-460,HIPASS J1428-46,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
LVHIS068,LVHIS 068,ESO 222-G010,ESO222-G010,HIPASS J1434-49,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
LVHIS069,LVHIS 069,new,NEW,HIPASS J1441-62,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
LVHIS070,LVHIS 070,ESO 272-G025,ESO272-G025,HIPASS J1443-44,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
LVHIS071,LVHIS 071,ESO 223-G009,ESO223-G009,HIPASS J1501-48,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
LVHIS072,LVHIS 072,ESO 274-G001,ESO274-G001,HIPASS J1514-46,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
LVHIS073,LVHIS 073,new,NEW,HIPASS J1526-51,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
LVHIS074,LVHIS 074,ESO 137-G018,ESO137-G018,HIPASS J1620-60,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
LVHIS075,LVHIS 075,IC 4662,IC4662,HIPASS J1747-64,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
LVHIS076,LVHIS 076,ESO 461-G036,ESO461-G036,HIPASS J2003-31,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
LVHIS077,LVHIS 077,IC 5052,IC5052,HIPASS J2052-69,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
LVHIS078,LVHIS 078,IC 5152,IC5152,HIPASS J2202-51,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
LVHIS079,LVHIS 079,UGCA 438,UGCA438,HIPASS J2326-32,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
LVHIS080,LVHIS 080,UGCA 442,UGCA442,HIPASS J2343-31,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
LVHIS081,LVHIS 081,ESO 149-G003,ESO149-G003,HIPASS J2352-52,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
LVHIS082,LVHIS 082,NGC 7793,NGC7793,HIPASS J2357-32,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
