Survey,ExternalName,CanonicalSPARCNameCandidate,CanonicalizationMode,AmapAvailable,AvelAvailable,AlreadyInWTauEffSeed,ExpansionStatus,PreScorePriority,RequiredNextAudit,ExclusionReason,InterpretationGuardrail
LVHIS,LVHIS016,AM0319-662,lvhis_database_optical_id_alias,no,no,no,excluded_before_scoring,excluded,none_excluded,no_reynolds_asymmetry_proxy_available,reynolds2020_seed_expansion_freeze_no_directional_readout
LVHIS,LVHIS017,IC1959,lvhis_database_optical_id_alias,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
LVHIS,LVHIS018,NGC1705,lvhis_database_optical_id_alias,yes,yes,yes,already_in_frozen_seed,high,none_existing_seed,,reynolds2020_seed_expansion_freeze_no_directional_readout
LVHIS,LVHIS019,ESO252-IG001,lvhis_database_optical_id_alias,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
LVHIS,LVHIS020,ESO364-G029,lvhis_database_optical_id_alias,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
LVHIS,LVHIS021,AM0605-341,lvhis_database_optical_id_alias,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
LVHIS,LVHIS022,NGC2188,lvhis_database_optical_id_alias,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
LVHIS,LVHIS023,ESO121-G020,lvhis_database_optical_id_alias,yes,no,no,predeclared_candidate_pending_sparc_rotmod_audit,medium,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
LVHIS,LVHIS024,ESO308-G022,lvhis_database_optical_id_alias,yes,no,no,predeclared_candidate_pending_sparc_rotmod_audit,medium,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
LVHIS,LVHIS025,AM0704-582,lvhis_database_optical_id_alias,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
LVHIS,LVHIS026,ESO059-G001,lvhis_database_optical_id_alias,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
LVHIS,LVHIS027,NGC2915,lvhis_database_optical_id_alias,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
LVHIS,LVHIS028,ESO376-G016,lvhis_database_optical_id_alias,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
LVHIS,LVHIS029,ESO318-G013,lvhis_database_optical_id_alias,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
LVHIS,LVHIS030,ESO215-G009,lvhis_database_optical_id_alias,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
LVHIS,LVHIS031,NGC3621,lvhis_database_optical_id_alias,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
LVHIS,LVHIS032,NEW,lvhis_database_optical_id_alias,no,no,no,excluded_before_scoring,excluded,none_excluded,no_resolved_canonical_name,reynolds2020_seed_expansion_freeze_no_directional_readout
LVHIS,LVHIS033,NEW,lvhis_database_optical_id_alias,no,no,no,excluded_before_scoring,excluded,none_excluded,no_resolved_canonical_name,reynolds2020_seed_expansion_freeze_no_directional_readout
LVHIS,LVHIS034,ESO320-G014,lvhis_database_optical_id_alias,yes,no,no,predeclared_candidate_pending_sparc_rotmod_audit,medium,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
LVHIS,LVHIS035,ESO379-G007,lvhis_database_optical_id_alias,yes,no,no,predeclared_candidate_pending_sparc_rotmod_audit,medium,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
LVHIS,LVHIS036,ESO379-G024,lvhis_database_optical_id_alias,yes,no,no,predeclared_candidate_pending_sparc_rotmod_audit,medium,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
LVHIS,LVHIS037,ESO321-G014,lvhis_database_optical_id_alias,yes,no,no,predeclared_candidate_pending_sparc_rotmod_audit,medium,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
LVHIS,LVHIS038,IC3104,lvhis_database_optical_id_alias,yes,no,no,predeclared_candidate_pending_sparc_rotmod_audit,medium,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
LVHIS,LVHIS039,ESO381-G018,lvhis_database_optical_id_alias,yes,no,no,predeclared_candidate_pending_sparc_rotmod_audit,medium,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
LVHIS,LVHIS040,ESO381-G020,lvhis_database_optical_id_alias,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
LVHIS,LVHIS041,NEW,lvhis_database_optical_id_alias,yes,no,no,excluded_before_scoring,medium,none_excluded,no_resolved_canonical_name,reynolds2020_seed_expansion_freeze_no_directional_readout
LVHIS,LVHIS042,CEN06,lvhis_database_optical_id_alias,yes,no,no,predeclared_candidate_pending_sparc_rotmod_audit,medium,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
LVHIS,LVHIS043,NGC4945,lvhis_database_optical_id_alias,yes,no,no,predeclared_candidate_pending_sparc_rotmod_audit,medium,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
LVHIS,LVHIS045,NEW,lvhis_database_optical_id_alias,yes,yes,no,excluded_before_scoring,high,none_excluded,no_resolved_canonical_name,reynolds2020_seed_expansion_freeze_no_directional_readout
LVHIS,LVHIS046,NGC5102,lvhis_database_optical_id_alias,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
LVHIS,LVHIS047,AM1321-304,lvhis_database_optical_id_alias,yes,no,no,predeclared_candidate_pending_sparc_rotmod_audit,medium,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
LVHIS,LVHIS049,IC4247,lvhis_database_optical_id_alias,no,no,no,excluded_before_scoring,excluded,none_excluded,no_reynolds_asymmetry_proxy_available,reynolds2020_seed_expansion_freeze_no_directional_readout
LVHIS,LVHIS050,ESO324-G024,lvhis_database_optical_id_alias,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
LVHIS,LVHIS051,ESO270-G017,lvhis_database_optical_id_alias,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
LVHIS,LVHIS052,UGCA365,lvhis_database_optical_id_alias,no,no,no,excluded_before_scoring,excluded,none_excluded,no_reynolds_asymmetry_proxy_available,reynolds2020_seed_expansion_freeze_no_directional_readout
LVHIS,LVHIS053,NGC5236,lvhis_database_optical_id_alias,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
LVHIS,LVHIS054,NEW,lvhis_database_optical_id_alias,yes,no,no,excluded_before_scoring,medium,none_excluded,no_resolved_canonical_name,reynolds2020_seed_expansion_freeze_no_directional_readout
LVHIS,LVHIS055,NGC5237,lvhis_database_optical_id_alias,yes,no,no,predeclared_candidate_pending_sparc_rotmod_audit,medium,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
LVHIS,LVHIS056,ESO444-G084,lvhis_database_optical_id_alias,yes,no,no,predeclared_candidate_pending_sparc_rotmod_audit,medium,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
LVHIS,LVHIS057,NGC5253,lvhis_database_optical_id_alias,yes,no,no,predeclared_candidate_pending_sparc_rotmod_audit,medium,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
LVHIS,LVHIS058,IC4316,lvhis_database_optical_id_alias,no,no,no,excluded_before_scoring,excluded,none_excluded,no_reynolds_asymmetry_proxy_available,reynolds2020_seed_expansion_freeze_no_directional_readout
LVHIS,LVHIS059,NGC5264,lvhis_database_optical_id_alias,yes,no,no,predeclared_candidate_pending_sparc_rotmod_audit,medium,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
LVHIS,LVHIS060,ESO325-G011,lvhis_database_optical_id_alias,yes,no,no,predeclared_candidate_pending_sparc_rotmod_audit,medium,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
LVHIS,LVHIS061,NEW,lvhis_database_optical_id_alias,yes,no,no,excluded_before_scoring,medium,none_excluded,no_resolved_canonical_name,reynolds2020_seed_expansion_freeze_no_directional_readout
LVHIS,LVHIS062,ESO174-G001,lvhis_database_optical_id_alias,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
LVHIS,LVHIS063,ESO383-G087,lvhis_database_optical_id_alias,yes,no,no,predeclared_candidate_pending_sparc_rotmod_audit,medium,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
LVHIS,LVHIS064,NEW,lvhis_database_optical_id_alias,yes,no,no,excluded_before_scoring,medium,none_excluded,no_resolved_canonical_name,reynolds2020_seed_expansion_freeze_no_directional_readout
LVHIS,LVHIS065,NGC5408,lvhis_database_optical_id_alias,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
LVHIS,LVHIS066,CIRCINUS,lvhis_database_optical_id_alias,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
LVHIS,LVHIS067,UKS1424-460,lvhis_database_optical_id_alias,yes,no,no,predeclared_candidate_pending_sparc_rotmod_audit,medium,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
LVHIS,LVHIS068,ESO222-G010,lvhis_database_optical_id_alias,yes,no,no,predeclared_candidate_pending_sparc_rotmod_audit,medium,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
LVHIS,LVHIS069,NEW,lvhis_database_optical_id_alias,yes,no,no,excluded_before_scoring,medium,none_excluded,no_resolved_canonical_name,reynolds2020_seed_expansion_freeze_no_directional_readout
LVHIS,LVHIS070,ESO272-G025,lvhis_database_optical_id_alias,yes,no,no,predeclared_candidate_pending_sparc_rotmod_audit,medium,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
LVHIS,LVHIS071,ESO223-G009,lvhis_database_optical_id_alias,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
LVHIS,LVHIS072,ESO274-G001,lvhis_database_optical_id_alias,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
LVHIS,LVHIS073,NEW,lvhis_database_optical_id_alias,yes,no,no,excluded_before_scoring,medium,none_excluded,no_resolved_canonical_name,reynolds2020_seed_expansion_freeze_no_directional_readout
LVHIS,LVHIS074,ESO137-G018,lvhis_database_optical_id_alias,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
LVHIS,LVHIS075,IC4662,lvhis_database_optical_id_alias,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
LVHIS,LVHIS076,ESO461-G036,lvhis_database_optical_id_alias,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
LVHIS,LVHIS077,IC5052,lvhis_database_optical_id_alias,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
LVHIS,LVHIS078,IC5152,lvhis_database_optical_id_alias,yes,no,no,predeclared_candidate_pending_sparc_rotmod_audit,medium,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
LVHIS,LVHIS079,UGCA438,lvhis_database_optical_id_alias,yes,no,no,predeclared_candidate_pending_sparc_rotmod_audit,medium,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
LVHIS,LVHIS080,UGCA442,lvhis_database_optical_id_alias,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
LVHIS,LVHIS081,ESO149-G003,lvhis_database_optical_id_alias,yes,no,no,predeclared_candidate_pending_sparc_rotmod_audit,medium,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
LVHIS,LVHIS082,NGC7793,lvhis_database_optical_id_alias,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
VIVA,NGC4064,NGC4064,survey_name_as_canonical_candidate,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
VIVA,NGC4189,NGC4189,survey_name_as_canonical_candidate,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
VIVA,NGC4192,NGC4192,survey_name_as_canonical_candidate,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
VIVA,NGC4216,NGC4216,survey_name_as_canonical_candidate,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
VIVA,NGC4222,NGC4222,survey_name_as_canonical_candidate,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
VIVA,NGC4254,NGC4254,survey_name_as_canonical_candidate,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
VIVA,NGC4293,NGC4293,survey_name_as_canonical_candidate,yes,no,no,predeclared_candidate_pending_sparc_rotmod_audit,medium,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
VIVA,NGC4294,NGC4294,survey_name_as_canonical_candidate,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
VIVA,NGC4298,NGC4298,survey_name_as_canonical_candidate,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
VIVA,NGC4299,NGC4299,survey_name_as_canonical_candidate,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
VIVA,NGC4302,NGC4302,survey_name_as_canonical_candidate,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
VIVA,NGC4321,NGC4321,survey_name_as_canonical_candidate,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
VIVA,NGC4330,NGC4330,survey_name_as_canonical_candidate,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
VIVA,NGC4351,NGC4351,survey_name_as_canonical_candidate,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
VIVA,NGC4380,NGC4380,survey_name_as_canonical_candidate,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
VIVA,NGC4383,NGC4383,survey_name_as_canonical_candidate,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
VIVA,NGC4388,NGC4388,survey_name_as_canonical_candidate,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
VIVA,NGC4394,NGC4394,survey_name_as_canonical_candidate,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
VIVA,NGC4396,NGC4396,survey_name_as_canonical_candidate,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
VIVA,NGC4402,NGC4402,survey_name_as_canonical_candidate,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
VIVA,NGC4405,NGC4405,survey_name_as_canonical_candidate,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
VIVA,NGC4419,NGC4419,survey_name_as_canonical_candidate,yes,no,no,predeclared_candidate_pending_sparc_rotmod_audit,medium,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
VIVA,NGC4424,NGC4424,survey_name_as_canonical_candidate,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
VIVA,NGC4450,NGC4450,survey_name_as_canonical_candidate,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
VIVA,NGC4457,NGC4457,survey_name_as_canonical_candidate,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
VIVA,NGC4501,NGC4501,survey_name_as_canonical_candidate,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
VIVA,NGC4522,NGC4522,survey_name_as_canonical_candidate,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
VIVA,NGC4532,NGC4532,survey_name_as_canonical_candidate,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
VIVA,NGC4535,NGC4535,survey_name_as_canonical_candidate,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
VIVA,NGC4536,NGC4536,survey_name_as_canonical_candidate,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
VIVA,NGC4548,NGC4548,survey_name_as_canonical_candidate,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
VIVA,NGC4561,NGC4561,survey_name_as_canonical_candidate,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
VIVA,NGC4567,NGC4567,survey_name_as_canonical_candidate,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
VIVA,NGC4569,NGC4569,survey_name_as_canonical_candidate,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
VIVA,NGC4579,NGC4579,survey_name_as_canonical_candidate,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
VIVA,NGC4580,NGC4580,survey_name_as_canonical_candidate,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
VIVA,NGC4606,NGC4606,survey_name_as_canonical_candidate,yes,no,no,predeclared_candidate_pending_sparc_rotmod_audit,medium,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
VIVA,NGC4607,NGC4607,survey_name_as_canonical_candidate,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
VIVA,NGC4651,NGC4651,survey_name_as_canonical_candidate,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
VIVA,NGC4654,NGC4654,survey_name_as_canonical_candidate,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
