Survey,ExternalName,CanonicalSPARCNameCandidate,ExpansionStatus,PreScorePriority,RotmodAvailable,LocalRotmodPath,RotmodSHA256,DistanceMpcFromRotmod,NRotmodPoints,MinRadiusKpc,MaxRadiusKpc,PassesMinimumRadialPointGate,AllowedPublicUse,InterpretationGuardrail
LVHIS,LVHIS012,ESO154-G023,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
LVHIS,LVHIS013,ESO199-G007,predeclared_candidate_pending_sparc_rotmod_audit,medium,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
LVHIS,LVHIS014,NGC1313,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
LVHIS,LVHIS015,NGC1311,predeclared_candidate_pending_sparc_rotmod_audit,medium,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
LVHIS,LVHIS016,AM0319-662,excluded_before_scoring,excluded,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
LVHIS,LVHIS017,IC1959,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
LVHIS,LVHIS018,NGC1705,already_in_frozen_seed,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
LVHIS,LVHIS019,ESO252-IG001,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
LVHIS,LVHIS020,ESO364-G029,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
LVHIS,LVHIS021,AM0605-341,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
LVHIS,LVHIS022,NGC2188,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
LVHIS,LVHIS023,ESO121-G020,predeclared_candidate_pending_sparc_rotmod_audit,medium,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
LVHIS,LVHIS024,ESO308-G022,predeclared_candidate_pending_sparc_rotmod_audit,medium,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
LVHIS,LVHIS025,AM0704-582,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
LVHIS,LVHIS026,ESO059-G001,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
LVHIS,LVHIS027,NGC2915,predeclared_candidate_pending_sparc_rotmod_audit,high,yes,/Users/jolcsak/Projects/tau-core/data/sparc/Rotmod_LTG/NGC2915_rotmod.dat,1ea15c050aa4249a462d4d51c1def2b7c42c0fe90c9938a27c2b495ab40d8e75,4.06,30,0.340000000,10.040000000,yes,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
LVHIS,LVHIS028,ESO376-G016,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
LVHIS,LVHIS029,ESO318-G013,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
LVHIS,LVHIS030,ESO215-G009,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
LVHIS,LVHIS031,NGC3621,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
LVHIS,LVHIS032,NEW,excluded_before_scoring,excluded,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
LVHIS,LVHIS033,NEW,excluded_before_scoring,excluded,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
LVHIS,LVHIS034,ESO320-G014,predeclared_candidate_pending_sparc_rotmod_audit,medium,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
LVHIS,LVHIS035,ESO379-G007,predeclared_candidate_pending_sparc_rotmod_audit,medium,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
LVHIS,LVHIS036,ESO379-G024,predeclared_candidate_pending_sparc_rotmod_audit,medium,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
LVHIS,LVHIS037,ESO321-G014,predeclared_candidate_pending_sparc_rotmod_audit,medium,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
LVHIS,LVHIS038,IC3104,predeclared_candidate_pending_sparc_rotmod_audit,medium,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
LVHIS,LVHIS039,ESO381-G018,predeclared_candidate_pending_sparc_rotmod_audit,medium,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
LVHIS,LVHIS040,ESO381-G020,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
LVHIS,LVHIS041,NEW,excluded_before_scoring,medium,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
LVHIS,LVHIS042,CEN06,predeclared_candidate_pending_sparc_rotmod_audit,medium,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
LVHIS,LVHIS043,NGC4945,predeclared_candidate_pending_sparc_rotmod_audit,medium,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
LVHIS,LVHIS045,NEW,excluded_before_scoring,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
LVHIS,LVHIS046,NGC5102,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
LVHIS,LVHIS047,AM1321-304,predeclared_candidate_pending_sparc_rotmod_audit,medium,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
LVHIS,LVHIS049,IC4247,excluded_before_scoring,excluded,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
LVHIS,LVHIS050,ESO324-G024,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
LVHIS,LVHIS051,ESO270-G017,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
LVHIS,LVHIS052,UGCA365,excluded_before_scoring,excluded,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
LVHIS,LVHIS053,NGC5236,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
LVHIS,LVHIS054,NEW,excluded_before_scoring,medium,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
LVHIS,LVHIS055,NGC5237,predeclared_candidate_pending_sparc_rotmod_audit,medium,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
LVHIS,LVHIS056,ESO444-G084,predeclared_candidate_pending_sparc_rotmod_audit,medium,yes,/Users/jolcsak/Projects/tau-core/data/sparc/Rotmod_LTG/ESO444-G084_rotmod.dat,37f96a15346bca9666a3cfe383aa0256946cfc2d5fa4245d02971fa00249bb83,4.83,7,0.260000000,4.440000000,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
LVHIS,LVHIS057,NGC5253,predeclared_candidate_pending_sparc_rotmod_audit,medium,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
LVHIS,LVHIS058,IC4316,excluded_before_scoring,excluded,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
LVHIS,LVHIS059,NGC5264,predeclared_candidate_pending_sparc_rotmod_audit,medium,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
LVHIS,LVHIS060,ESO325-G011,predeclared_candidate_pending_sparc_rotmod_audit,medium,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
LVHIS,LVHIS061,NEW,excluded_before_scoring,medium,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
LVHIS,LVHIS062,ESO174-G001,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
LVHIS,LVHIS063,ESO383-G087,predeclared_candidate_pending_sparc_rotmod_audit,medium,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
LVHIS,LVHIS064,NEW,excluded_before_scoring,medium,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
LVHIS,LVHIS065,NGC5408,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
LVHIS,LVHIS066,CIRCINUS,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
LVHIS,LVHIS067,UKS1424-460,predeclared_candidate_pending_sparc_rotmod_audit,medium,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
LVHIS,LVHIS068,ESO222-G010,predeclared_candidate_pending_sparc_rotmod_audit,medium,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
LVHIS,LVHIS069,NEW,excluded_before_scoring,medium,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
LVHIS,LVHIS070,ESO272-G025,predeclared_candidate_pending_sparc_rotmod_audit,medium,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
LVHIS,LVHIS071,ESO223-G009,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
LVHIS,LVHIS072,ESO274-G001,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
LVHIS,LVHIS073,NEW,excluded_before_scoring,medium,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
LVHIS,LVHIS074,ESO137-G018,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
LVHIS,LVHIS075,IC4662,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
LVHIS,LVHIS076,ESO461-G036,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
LVHIS,LVHIS077,IC5052,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
LVHIS,LVHIS078,IC5152,predeclared_candidate_pending_sparc_rotmod_audit,medium,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
LVHIS,LVHIS079,UGCA438,predeclared_candidate_pending_sparc_rotmod_audit,medium,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
LVHIS,LVHIS080,UGCA442,predeclared_candidate_pending_sparc_rotmod_audit,high,yes,/Users/jolcsak/Projects/tau-core/data/sparc/Rotmod_LTG/UGCA442_rotmod.dat,65f8396d3869c241ebee71c36e1d4ba8c529694ef82cd5cdf38c9ca73d0ed66f,4.35,8,0.420000000,6.330000000,yes,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
LVHIS,LVHIS081,ESO149-G003,predeclared_candidate_pending_sparc_rotmod_audit,medium,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
LVHIS,LVHIS082,NGC7793,predeclared_candidate_pending_sparc_rotmod_audit,high,yes,/Users/jolcsak/Projects/tau-core/data/sparc/Rotmod_LTG/NGC7793_rotmod.dat,2f39a5ca966dbe82c9fc3679b0ca7404e9c34fb169f34ce4ed34a0bcbcfd9808,3.61,46,0.110000000,7.870000000,yes,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
VIVA,NGC4064,NGC4064,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
VIVA,NGC4189,NGC4189,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
VIVA,NGC4192,NGC4192,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
VIVA,NGC4216,NGC4216,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
VIVA,NGC4222,NGC4222,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
VIVA,NGC4254,NGC4254,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
VIVA,NGC4293,NGC4293,predeclared_candidate_pending_sparc_rotmod_audit,medium,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
VIVA,NGC4294,NGC4294,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
VIVA,NGC4298,NGC4298,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
VIVA,NGC4299,NGC4299,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
VIVA,NGC4302,NGC4302,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
VIVA,NGC4321,NGC4321,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
VIVA,NGC4330,NGC4330,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
VIVA,NGC4351,NGC4351,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
VIVA,NGC4380,NGC4380,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
VIVA,NGC4383,NGC4383,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
VIVA,NGC4388,NGC4388,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
VIVA,NGC4394,NGC4394,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
VIVA,NGC4396,NGC4396,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
VIVA,NGC4402,NGC4402,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
VIVA,NGC4405,NGC4405,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
VIVA,NGC4419,NGC4419,predeclared_candidate_pending_sparc_rotmod_audit,medium,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
VIVA,NGC4424,NGC4424,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
VIVA,NGC4450,NGC4450,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
VIVA,NGC4457,NGC4457,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
VIVA,NGC4501,NGC4501,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
VIVA,NGC4522,NGC4522,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
VIVA,NGC4532,NGC4532,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
VIVA,NGC4535,NGC4535,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
VIVA,NGC4536,NGC4536,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
VIVA,NGC4548,NGC4548,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
VIVA,NGC4561,NGC4561,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
VIVA,NGC4567,NGC4567,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
VIVA,NGC4569,NGC4569,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
VIVA,NGC4579,NGC4579,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
VIVA,NGC4580,NGC4580,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
VIVA,NGC4606,NGC4606,predeclared_candidate_pending_sparc_rotmod_audit,medium,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
VIVA,NGC4607,NGC4607,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
VIVA,NGC4651,NGC4651,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
VIVA,NGC4654,NGC4654,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
VIVA,NGC4689,NGC4689,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
VIVA,NGC4698,NGC4698,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
VIVA,NGC4713,NGC4713,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
VIVA,NGC4772,NGC4772,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
VIVA,NGC4808,NGC4808,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
HALOGAS,NGC2537,NGC2537,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
HALOGAS,NGC2541,NGC2541,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
HALOGAS,NGC3198,NGC3198,already_in_frozen_seed,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
HALOGAS,NGC4062,NGC4062,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
HALOGAS,NGC4244,NGC4244,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
HALOGAS,NGC4258,NGC4258,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
HALOGAS,NGC4274,NGC4274,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
HALOGAS,NGC4414,NGC4414,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
HALOGAS,NGC4448,NGC4448,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
HALOGAS,NGC4559,NGC4559,already_in_frozen_seed,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
HALOGAS,NGC4565,NGC4565,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
HALOGAS,NGC4631,NGC4631,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
