GalaxyName,Class,RadiusKpc,RadiusFraction,RadiusZone,AccelerationZone,StressDispersionOverRotationScale,Empirical_S_tau_eff_clipped,S_tau1,S_tau_source_percentile,S_tau_source_log,AbsError_S_tau1_vs_eff,AbsError_SourcePercentile_vs_eff,AbsError_SourceLog_vs_eff,DeltaAbsError_SourcePercentileMinusS1,DeltaAbsError_SourceLogMinusS1,SourcePercentileDirection,SourceLogDirection,InterpretationGuardrail
DDO154,A,5.43,0.91723,outer,low_acc,0.546388127,1.172545978,1.000000000,0.076195961,0.037342648,0.172545978,1.096350017,1.135203330,0.923804039,0.962657352,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
DDO154,A,5.92,1,outer,low_acc,0.485259845,1.128086065,1.000000000,0.179583588,0.089791010,0.128086065,0.948502477,1.038295055,0.820416412,0.910208990,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2366,C,0.12,0.019802,inner,low_acc,6.541669106,0.356531787,1.000000000,0.000000000,0.000000000,0.643468213,0.356531787,0.356531787,-0.286936426,-0.286936426,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2366,C,0.36,0.0594059,inner,low_acc,3.434442532,0.170649660,1.000000000,0.000000000,0.000000000,0.829350340,0.170649660,0.170649660,-0.658700680,-0.658700680,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2366,C,0.59,0.0973597,inner,low_acc,3.768856713,0.333650410,1.000000000,0.000000000,0.000000000,0.666349590,0.333650410,0.333650410,-0.332699180,-0.332699180,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2366,C,0.83,0.136964,inner,low_acc,3.477536026,0.269347889,1.000000000,0.000000000,0.000000000,0.730652111,0.269347889,0.269347889,-0.461304222,-0.461304222,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2366,C,1.07,0.176568,inner,low_acc,2.145374989,0.387367238,1.000000000,0.000000000,0.000000000,0.612632762,0.387367238,0.387367238,-0.225265524,-0.225265524,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2366,C,1.31,0.216172,inner,low_acc,1.999156579,0.490057820,1.000000000,0.000000000,0.000000000,0.509942180,0.490057820,0.490057820,-0.019884360,-0.019884360,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2366,C,1.54,0.254125,inner,low_acc,1.727260413,0.627972843,1.000000000,0.000000000,0.000000000,0.372027157,0.627972843,0.627972843,0.255945686,0.255945686,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2366,C,1.79,0.29538,inner,low_acc,1.498816342,0.710016208,1.000000000,0.000000000,0.000000000,0.289983792,0.710016208,0.710016208,0.420032416,0.420032416,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2366,C,2.02,0.333333,middle,low_acc,1.354142162,0.732501649,1.000000000,0.000000000,0.000000000,0.267498351,0.732501649,0.732501649,0.465003298,0.465003298,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2366,C,2.26,0.372937,middle,low_acc,1.121731975,0.731163363,1.000000000,0.000000000,0.000000000,0.268836637,0.731163363,0.731163363,0.462326726,0.462326726,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2366,C,2.49,0.410891,middle,low_acc,1.033458465,0.807590686,1.000000000,0.000000000,0.000000000,0.192409314,0.807590686,0.807590686,0.615181372,0.615181372,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2366,C,2.74,0.452145,middle,low_acc,0.802076206,0.846624394,1.000000000,0.000000000,0.000000000,0.153375606,0.846624394,0.846624394,0.693248788,0.693248788,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2366,C,2.97,0.490099,middle,low_acc,0.744084892,0.818844578,1.000000000,0.000000000,0.000000000,0.181155422,0.818844578,0.818844578,0.637689156,0.637689156,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2366,C,3.21,0.529703,middle,low_acc,0.681528951,0.795502069,1.000000000,0.000000000,0.000000000,0.204497931,0.795502069,0.795502069,0.591004138,0.591004138,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2366,C,3.44,0.567657,middle,low_acc,0.641313956,0.823007423,1.000000000,0.000000000,0.000000000,0.176992577,0.823007423,0.823007423,0.646014846,0.646014846,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2366,C,3.69,0.608911,middle,low_acc,0.486725841,0.838653034,1.000000000,0.177104117,0.088508101,0.161346966,0.661548917,0.750144933,0.500201951,0.588797967,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2366,C,3.92,0.646865,middle,low_acc,0.500303888,0.840755656,1.000000000,0.154139263,0.076685572,0.159244344,0.686616393,0.764070084,0.527372049,0.604825740,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2366,C,4.16,0.686469,outer,low_acc,0.512735420,0.847757190,1.000000000,0.133113535,0.065954775,0.152242810,0.714643655,0.781802415,0.562400845,0.629559605,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2366,C,4.4,0.726073,outer,low_acc,0.486309509,0.751323880,1.000000000,0.177808268,0.088872309,0.248676120,0.573515612,0.662451571,0.324839492,0.413775451,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2366,C,4.64,0.765677,outer,low_acc,0.462619369,0.749618852,1.000000000,0.217875930,0.109766344,0.250381148,0.531742922,0.639852508,0.281361774,0.389471360,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2366,C,4.87,0.80363,outer,low_acc,0.412301916,0.721364735,1.000000000,0.302978961,0.155291001,0.278635265,0.418385774,0.566073734,0.139750509,0.287438469,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2366,C,5.11,0.843234,outer,low_acc,0.379207550,0.666476954,1.000000000,0.358952201,0.186126071,0.333523046,0.307524753,0.480350883,-0.025998293,0.146827837,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2366,C,5.35,0.882838,outer,low_acc,0.363881618,0.600424233,1.000000000,0.384873291,0.200657260,0.399575767,0.215550942,0.399766973,-0.184024825,0.000191206,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2366,C,5.59,0.922442,outer,low_acc,0.340504364,0.644426453,1.000000000,0.424411762,0.223139795,0.355573547,0.220014691,0.421286658,-0.135558856,0.065713111,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2366,C,5.82,0.960396,outer,low_acc,0.350925769,0.621651475,1.000000000,0.406785808,0.213069203,0.378348525,0.214865667,0.408582272,-0.163482858,0.030233747,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2366,C,6.06,1,outer,low_acc,0.357267929,0.632988124,1.000000000,0.396059171,0.206978494,0.367011876,0.236928953,0.426009630,-0.130082923,0.058997754,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2403,A,0.16,0.00766651,inner,high_acc,2.693156610,1.177061613,1.000000000,0.000000000,0.000000000,0.177061613,1.177061613,1.177061613,1.000000000,1.000000000,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2403,A,0.26,0.0124581,inner,high_acc,1.138456521,1.229406613,1.000000000,0.000000000,0.000000000,0.229406613,1.229406613,1.229406613,1.000000000,1.000000000,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2403,A,0.36,0.0172496,inner,high_acc,0.974932430,1.049090919,1.000000000,0.000000000,0.000000000,0.049090919,1.049090919,1.049090919,1.000000000,1.000000000,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2403,A,0.46,0.0220412,inner,high_acc,0.916981667,1.137478251,1.000000000,0.000000000,0.000000000,0.137478251,1.137478251,1.137478251,1.000000000,1.000000000,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2403,A,0.56,0.0268328,inner,high_acc,0.773384140,1.379462154,1.000000000,0.000000000,0.000000000,0.379462154,1.379462154,1.379462154,1.000000000,1.000000000,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2403,A,0.66,0.0316243,inner,high_acc,0.791318218,1.433668965,1.000000000,0.000000000,0.000000000,0.433668965,1.433668965,1.433668965,1.000000000,1.000000000,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2403,A,0.76,0.0364159,inner,high_acc,0.714420280,1.586810253,1.000000000,0.000000000,0.000000000,0.586810253,1.586810253,1.586810253,1.000000000,1.000000000,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2403,A,0.86,0.0412075,inner,high_acc,0.673924666,1.573490903,1.000000000,0.000000000,0.000000000,0.573490903,1.573490903,1.573490903,1.000000000,1.000000000,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2403,A,0.96,0.045999,inner,high_acc,0.540437211,1.379224828,1.000000000,0.086260878,0.042356620,0.379224828,1.292963950,1.336868208,0.913739122,0.957643380,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2403,A,1.06,0.0507906,inner,high_acc,0.494274220,1.326729970,1.000000000,0.164337375,0.081922396,0.326729970,1.162392595,1.244807574,0.835662625,0.918077604,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2403,A,1.16,0.0555822,inner,high_acc,0.462493075,1.274016029,1.000000000,0.218089534,0.109878636,0.274016029,1.055926495,1.164137393,0.781910466,0.890121364,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2403,A,1.27,0.0608529,inner,high_acc,0.513954320,1.375071531,1.000000000,0.131051983,0.064907382,0.375071531,1.244019548,1.310164149,0.868948017,0.935092618,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2403,A,1.36,0.0651653,inner,high_acc,0.499502619,1.374673318,1.000000000,0.155494467,0.077380268,0.374673318,1.219178851,1.297293050,0.844505533,0.922619732,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2403,A,1.47,0.070436,inner,high_acc,0.425899082,1.270290380,1.000000000,0.279981771,0.142830996,0.270290380,0.990308609,1.127459384,0.720018229,0.857169004,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2403,A,1.57,0.0752276,inner,high_acc,0.400589262,1.272370678,1.000000000,0.322788834,0.166120654,0.272370678,0.949581844,1.106250024,0.677211166,0.833879346,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2403,A,1.67,0.0800192,inner,high_acc,0.392573149,1.269657032,1.000000000,0.336346665,0.173584771,0.269657032,0.933310367,1.096072261,0.663653335,0.826415229,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2403,A,1.77,0.0848107,inner,high_acc,0.361491720,1.138632625,1.000000000,0.388915379,0.202937933,0.138632625,0.749717246,0.935694692,0.611084621,0.797062067,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2403,A,1.87,0.0896023,inner,high_acc,0.364823788,1.116770878,1.000000000,0.383279778,0.199759247,0.116770878,0.733491100,0.917011631,0.616720222,0.800240753,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2403,A,1.97,0.0943939,inner,high_acc,0.383413985,1.105315769,1.000000000,0.351837763,0.182166002,0.105315769,0.753478006,0.923149767,0.648162237,0.817833998,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2403,A,2.08,0.0996646,inner,high_acc,0.396302235,1.083350374,1.000000000,0.330039579,0.170107143,0.083350374,0.753310795,0.913243231,0.669960421,0.829892857,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2403,A,2.18,0.104456,inner,high_acc,0.384796717,0.952213222,1.000000000,0.349499118,0.180866885,0.047786778,0.602714104,0.771346337,0.554927326,0.723559559,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2403,A,2.28,0.109248,inner,high_acc,0.400748583,0.906425303,1.000000000,0.322519371,0.165972737,0.093574697,0.583905932,0.740452566,0.490331235,0.646877869,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2403,A,2.37,0.11356,inner,high_acc,0.405068447,0.896391712,1.000000000,0.315213089,0.161968491,0.103608288,0.581178623,0.734423221,0.477570335,0.630814933,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2403,A,2.47,0.118352,inner,high_acc,0.408998554,0.848005252,1.000000000,0.308566011,0.158336207,0.151994748,0.539439241,0.689669045,0.387444493,0.537674297,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2403,A,2.57,0.123143,inner,high_acc,0.375389229,0.873980872,1.000000000,0.365410212,0.189731230,0.126019128,0.508570660,0.684249642,0.382551532,0.558230514,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2403,A,2.68,0.128414,inner,high_acc,0.371978715,0.865215826,1.000000000,0.371178491,0.192959819,0.134784174,0.494037335,0.672256007,0.359253161,0.537471833,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2403,A,2.78,0.133206,inner,high_acc,0.390793036,0.856571366,1.000000000,0.339357410,0.175248134,0.143428634,0.517213956,0.681323232,0.373785322,0.537894598,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2403,A,2.88,0.137997,inner,high_acc,0.431732727,0.879176869,1.000000000,0.270115197,0.137521614,0.120823131,0.609061672,0.741655255,0.488238541,0.620832124,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2403,A,2.98,0.142789,inner,high_acc,0.409418307,0.897429569,1.000000000,0.307856073,0.157948861,0.102570431,0.589573496,0.739480708,0.487003065,0.636910277,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2403,A,3.08,0.14758,inner,high_acc,0.393570370,0.945378136,1.000000000,0.334660043,0.172653883,0.054621864,0.610718093,0.772724253,0.556096229,0.718102389,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2403,A,3.19,0.152851,inner,high_acc,0.365303973,0.891203737,1.000000000,0.382467631,0.199301806,0.108796263,0.508736106,0.691901931,0.399939843,0.583105668,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2403,A,3.29,0.157643,inner,high_acc,0.361222313,0.864695633,1.000000000,0.389371033,0.203195279,0.135304367,0.475324600,0.661500354,0.340020233,0.526195987,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2403,A,3.39,0.162434,inner,high_acc,0.343023263,0.899531592,1.000000000,0.420151492,0.220698532,0.100468408,0.479380100,0.678833060,0.378911692,0.578364652,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2403,A,3.49,0.167226,inner,high_acc,0.325458326,0.997223555,1.000000000,0.449859462,0.237818317,0.002776445,0.547364093,0.759405238,0.544587648,0.756628793,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2403,A,3.59,0.172017,inner,high_acc,0.321958673,1.068115850,1.000000000,0.455778503,0.241256370,0.068115850,0.612337347,0.826859480,0.544221497,0.758743630,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2403,A,3.69,0.176809,inner,high_acc,0.309186978,1.100574820,1.000000000,0.477379556,0.253880943,0.100574820,0.623195264,0.846693877,0.522620444,0.746119057,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2403,A,3.79,0.1816,inner,high_acc,0.295772101,1.139426712,1.000000000,0.500068437,0.267274603,0.139426712,0.639358275,0.872152109,0.499931563,0.732725397,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2403,A,3.9,0.186871,inner,high_acc,0.318120199,1.239639024,1.000000000,0.462270600,0.245037761,0.239639024,0.777368424,0.994601263,0.537729400,0.754962239,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2403,A,3.99,0.191184,inner,high_acc,0.321040834,1.226893057,1.000000000,0.457330865,0.242159560,0.226893057,0.769562192,0.984733497,0.542669135,0.757840440,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2403,A,4.47,0.214183,inner,high_acc,0.375216169,1.163392729,1.000000000,0.365702912,0.189894865,0.163392729,0.797689817,0.973497864,0.634297088,0.810105135,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2403,A,4.97,0.238141,inner,mid_acc,0.364675000,1.196752455,1.000000000,0.383531427,0.199901021,0.196752455,0.813221028,0.996851434,0.616468573,0.800098979,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2403,A,5.47,0.262099,inner,mid_acc,0.319985678,1.238419744,1.000000000,0.459115474,0.243198651,0.238419744,0.779304270,0.995221093,0.540884526,0.756801349,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2403,A,5.96,0.285577,inner,mid_acc,0.309609109,1.246839550,1.000000000,0.476665596,0.253461710,0.246839550,0.770173954,0.993377840,0.523334404,0.746538290,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2403,A,6.46,0.309535,inner,mid_acc,0.286400403,1.259563900,1.000000000,0.515918999,0.276714007,0.259563900,0.743644901,0.982849893,0.484081001,0.723285993,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2403,A,6.96,0.333493,middle,mid_acc,0.280961947,1.242355082,1.000000000,0.525117181,0.282223336,0.242355082,0.717237901,0.960131746,0.474882819,0.717776664,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2403,A,7.45,0.356972,middle,mid_acc,0.243910110,1.227361176,1.000000000,0.587783779,0.320392372,0.227361176,0.639577397,0.906968804,0.412216221,0.679607628,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2403,A,7.95,0.38093,middle,mid_acc,0.216052821,1.213152250,1.000000000,0.634899433,0.349845979,0.213152250,0.578252817,0.863306271,0.365100567,0.650154021,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2403,A,8.45,0.404887,middle,mid_acc,0.218554939,1.214904356,1.000000000,0.630667545,0.347173043,0.214904356,0.584236811,0.867731313,0.369332455,0.652826957,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2403,A,8.94,0.428366,middle,mid_acc,0.211708254,1.215111297,1.000000000,0.642247496,0.354500240,0.215111297,0.572863801,0.860611057,0.357752504,0.645499760,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2403,A,9.44,0.452324,middle,mid_acc,0.204854186,1.196846709,1.000000000,0.653839935,0.361876924,0.196846709,0.543006774,0.834969785,0.346160065,0.638123076,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2403,A,9.94,0.476282,middle,mid_acc,0.178812178,1.164146095,1.000000000,0.697885364,0.390292464,0.164146095,0.466260731,0.773853631,0.302114636,0.609707536,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2403,A,10.43,0.49976,middle,mid_acc,0.165470365,1.144942193,1.000000000,0.720450670,0.405094424,0.144942193,0.424491523,0.739847769,0.279549330,0.594905576,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2403,A,10.93,0.523718,middle,mid_acc,0.149951205,1.147017148,1.000000000,0.746698571,0.422526708,0.147017148,0.400318577,0.724490440,0.253301429,0.577473292,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2403,A,11.43,0.547676,middle,low_acc,0.136603775,1.170599314,1.000000000,0.769273377,0.437708763,0.170599314,0.401325937,0.732890551,0.230726623,0.562291237,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2403,A,11.92,0.571155,middle,low_acc,0.130575590,1.163340711,1.000000000,0.779468981,0.444624069,0.163340711,0.383871730,0.718716642,0.220531019,0.555375931,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2403,A,12.42,0.595113,middle,low_acc,0.129466453,1.188539386,1.000000000,0.781344889,0.445900444,0.188539386,0.407194497,0.742638942,0.218655111,0.554099556,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2403,A,12.92,0.61907,middle,low_acc,0.118291938,1.198607151,1.000000000,0.800244596,0.458830258,0.198607151,0.398362555,0.739776893,0.199755404,0.541169742,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2403,A,13.42,0.643028,middle,low_acc,0.115192992,1.199519476,1.000000000,0.805485912,0.462438876,0.199519476,0.394033564,0.737080600,0.194514088,0.537561124,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2403,A,13.91,0.666507,middle,low_acc,0.109968108,1.204721985,1.000000000,0.814322875,0.468545843,0.204721985,0.390399110,0.736176142,0.185677125,0.531454157,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2403,A,14.41,0.690465,outer,low_acc,0.107258927,1.207367038,1.000000000,0.818904973,0.471723725,0.207367038,0.388462065,0.735643313,0.181095027,0.528276275,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2403,A,14.91,0.714423,outer,low_acc,0.099787040,1.226436534,1.000000000,0.831542342,0.480528742,0.226436534,0.394894192,0.745907792,0.168457658,0.519471258,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2403,A,15.4,0.737901,outer,low_acc,0.094436229,1.230913420,1.000000000,0.840592288,0.486871079,0.230913420,0.390321132,0.744042341,0.159407712,0.513128921,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2403,A,15.9,0.761859,outer,low_acc,0.091033119,1.220862876,1.000000000,0.846348044,0.490920951,0.220862876,0.374514832,0.729941925,0.153651956,0.509079049,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2403,A,16.4,0.785817,outer,low_acc,0.085565983,1.245055842,1.000000000,0.855594733,0.497453640,0.245055842,0.389461109,0.747602202,0.144405267,0.502546360,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2403,A,16.89,0.809296,outer,low_acc,0.087460695,1.257387794,1.000000000,0.852390165,0.495185928,0.257387794,0.404997629,0.762201866,0.147609835,0.504814072,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2403,A,17.39,0.833253,outer,low_acc,0.081772292,1.300500932,1.000000000,0.862011087,0.502006091,0.300500932,0.438489845,0.798494841,0.137988913,0.497993909,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2403,A,17.89,0.857211,outer,low_acc,0.080041542,1.313485120,1.000000000,0.864938344,0.504088307,0.313485120,0.448546776,0.809396813,0.135061656,0.495911693,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2403,A,18.38,0.88069,outer,low_acc,0.075975862,1.310314722,1.000000000,0.871814719,0.508992766,0.310314722,0.438500003,0.801321956,0.128185281,0.491007234,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2403,A,18.88,0.904648,outer,low_acc,0.074585407,1.291862052,1.000000000,0.874166426,0.510674336,0.291862052,0.417695626,0.781187716,0.125833574,0.489325664,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2403,A,19.38,0.928606,outer,low_acc,0.077715516,1.314210413,1.000000000,0.868872403,0.506891945,0.314210413,0.445338010,0.807318468,0.131127597,0.493108055,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2403,A,19.87,0.952084,outer,low_acc,0.072611337,1.344332450,1.000000000,0.877505215,0.513065451,0.344332450,0.466827235,0.831266999,0.122494785,0.486934549,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2403,A,20.37,0.976042,outer,low_acc,0.066441830,1.326494006,1.000000000,0.887939840,0.520566806,0.326494006,0.438554166,0.805927200,0.112060160,0.479433194,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2403,A,20.87,1,outer,low_acc,0.066620603,1.308135787,1.000000000,0.887637477,0.520348830,0.308135787,0.420498310,0.787786957,0.112362523,0.479651170,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2976,C,0.11,0.0484581,inner,mid_acc,3.538610395,0.000000000,1.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,-1.000000000,-1.000000000,too_high_or_equal,too_high_or_equal,post_outcome_failure_diagnostic_not_rule_selection
NGC2976,C,0.17,0.0748899,inner,mid_acc,3.538610395,0.000000000,1.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,-1.000000000,-1.000000000,too_high_or_equal,too_high_or_equal,post_outcome_failure_diagnostic_not_rule_selection
NGC2976,C,0.24,0.105727,inner,mid_acc,1.444171362,0.000000000,1.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,-1.000000000,-1.000000000,too_high_or_equal,too_high_or_equal,post_outcome_failure_diagnostic_not_rule_selection
NGC2976,C,0.31,0.136564,inner,mid_acc,1.291040375,0.325919949,1.000000000,0.000000000,0.000000000,0.674080051,0.325919949,0.325919949,-0.348160102,-0.348160102,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
NGC2976,C,0.38,0.167401,inner,mid_acc,1.067359700,0.665787419,1.000000000,0.000000000,0.000000000,0.334212581,0.665787419,0.665787419,0.331574838,0.331574838,too_low,too_low,post_outcome_failure_diagnostic_not_rule_selection
