GalaxyName,Class,RadiusKpc,RadiusFraction,JoinRadiusDeltaKpc,StressDispersionOverRotationScale,S_tau_source_percentile,S_tau_source_log,aN_over_a0,VobsKms,VbarKms,ModelVelocity_S_tau1,ModelVelocity_SourcePercentile,ModelVelocity_SourceLog,AbsLogResidual_S_tau1,AbsLogResidual_SourcePercentile,AbsLogResidual_SourceLog,DeltaAbsLogResidual_SourcePercentileMinusS1,DeltaAbsLogResidual_SourceLogMinusS1,InterpretationGuardrail
NGC2366,C,5.59,0.922442,0.000000000,0.340504364,0.424411762,0.223139795,0.0388994,50.000000000,28.375485018,61.931703693,42.617138912,35.863212774,0.214009219,0.159766511,0.332310949,-0.054242708,0.118301730,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2366,C,5.82,0.960396,0.000000000,0.350925769,0.406785808,0.213069203,0.0364023,49.000000000,28.008630813,61.775733470,41.744608951,35.203360464,0.231690327,0.160249982,0.330678752,-0.071440345,0.098988425,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2366,C,6.06,1,0.000000000,0.357267929,0.396059171,0.206978494,0.0345278,49.400000000,27.834705854,61.903740221,41.328059362,34.886263279,0.225630177,0.178408751,0.347857275,-0.047221426,0.122227098,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2403,A,0.16,0.00766651,0.000000000,2.693156610,0.000000000,0.000000000,0.454641,24.500000000,16.411948391,23.283340264,16.411948391,16.411948391,0.050935023,0.400663488,0.400663488,0.349728465,0.349728465,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2403,A,0.26,0.0124581,0.000000000,1.138456521,0.000000000,0.000000000,0.648264,35.300000000,24.982082579,33.374682165,24.982082579,24.982082579,0.056085370,0.345724093,0.345724093,0.289638722,0.289638722,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2403,A,0.36,0.0172496,0.000000000,0.974932430,0.000000000,0.000000000,0.830282,43.200000000,33.268255891,42.735256258,33.268255891,33.268255891,0.010816242,0.261236829,0.261236829,0.250420587,0.250420587,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2403,A,0.46,0.0220412,0.000000000,0.916981667,0.000000000,0.000000000,0.94614,52.000000000,40.144181397,50.567078358,40.144181397,40.144181397,0.027942979,0.258766210,0.258766210,0.230823231,0.230823231,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2403,A,0.56,0.0268328,0.000000000,0.773384140,0.000000000,0.000000000,0.983941,60.900000000,45.169414984,56.572834043,45.169414984,45.169414984,0.073704269,0.298812977,0.298812977,0.225108708,0.225108708,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2403,A,0.66,0.0316243,0.000000000,0.791318218,0.000000000,0.000000000,0.937525,65.800000000,47.866238624,60.375236015,47.866238624,47.866238624,0.086040817,0.318209413,0.318209413,0.232168596,0.232168596,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2403,A,0.76,0.0364159,0.000000000,0.714420280,0.000000000,0.000000000,0.895336,71.700000000,50.195617837,63.747573497,50.195617837,50.195617837,0.117559627,0.356563019,0.356563019,0.239003392,0.239003392,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2403,A,0.86,0.0412075,0.000000000,0.673924666,0.000000000,0.000000000,0.836404,74.600000000,51.608743445,66.220366902,51.608743445,51.608743445,0.119152434,0.368449402,0.368449402,0.249296968,0.249296968,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2403,A,0.96,0.045999,0.000000000,0.540437211,0.086260878,0.042356620,0.793012,74.600000000,53.093491597,68.686676938,54.438573455,53.753966223,0.082585258,0.315067534,0.327723053,0.232482276,0.245137795,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2403,A,1.06,0.0507906,0.000000000,0.494274220,0.164337375,0.081922396,0.762512,76.600000000,54.706892619,71.208447478,57.418714828,56.058739531,0.072985621,0.288226784,0.312197016,0.215241163,0.239211395,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2403,A,1.16,0.0555822,0.000000000,0.462493075,0.218089534,0.109878636,0.740421,78.500000000,56.394174788,73.745467660,60.178310165,58.300711182,0.062479087,0.265786634,0.297484333,0.203307547,0.235005246,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2403,A,1.27,0.0608529,0.000000000,0.513954320,0.131051983,0.064907382,0.72371,83.400000000,58.337798210,76.563905885,60.726365763,59.520807143,0.085522546,0.317270344,0.337322358,0.231747798,0.251799812,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2403,A,1.36,0.0651653,0.000000000,0.499502619,0.155494467,0.077380268,0.726599,86.400000000,60.489901223,79.338087523,63.420689906,61.948378930,0.085269366,0.309197528,0.332686235,0.223928163,0.247416870,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2403,A,1.47,0.070436,0.000000000,0.425899082,0.279981771,0.142830996,0.71648,87.400000000,62.449174534,82.091002778,67.948528391,65.254636425,0.062666861,0.251744800,0.292198183,0.189077939,0.229531322,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2403,A,1.57,0.0752276,0.000000000,0.400589262,0.322788834,0.166120654,0.714787,90.300000000,64.462057445,84.768987671,71.016907775,67.835457975,0.063207696,0.240219474,0.286052423,0.177011778,0.222844727,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2403,A,1.67,0.0800192,0.000000000,0.392573149,0.336346665,0.173584771,0.720392,93.300000000,66.743421399,87.659761727,73.778562712,70.374179545,0.062357131,0.234751897,0.281993680,0.172394766,0.219636549,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2403,A,1.77,0.0848107,0.000000000,0.361491720,0.388915379,0.202937933,0.722026,93.300000000,68.790596741,90.315891810,77.162115031,73.158895629,0.032506674,0.189911509,0.243186380,0.157404835,0.210679706,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2403,A,1.87,0.0896023,0.000000000,0.364823788,0.383279778,0.199759247,0.717045,95.200000000,70.462785568,92.613447744,78.952686449,74.887585165,0.027545587,0.187131174,0.239991817,0.159585588,0.212446230,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2403,A,1.97,0.0943939,0.000000000,0.383413985,0.351837763,0.182166002,0.711406,97.200000000,72.037381268,94.802476518,80.047001455,76.184407655,0.024975179,0.194156731,0.243613894,0.169181552,0.218638715,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2403,A,2.08,0.0996646,0.000000000,0.396302235,0.330039579,0.170107143,0.705716,99.100000000,73.724637334,97.147680582,81.455168666,77.709064301,0.019897140,0.196076650,0.243157533,0.176179510,0.223260393,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2403,A,2.18,0.104456,0.000000000,0.384796717,0.349499118,0.180866885,0.703442,98.200000000,75.354331992,99.346508827,83.739576635,79.693722281,0.011607613,0.159294510,0.208815400,0.147686898,0.197207787,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2403,A,2.28,0.109248,0.000000000,0.400748583,0.322519371,0.165972737,0.681381,98.200000000,75.845224306,100.507792306,83.799380225,79.938538218,0.023229045,0.158580604,0.205748148,0.135351559,0.182519104,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2403,A,2.37,0.11356,0.000000000,0.405068447,0.315213089,0.161968491,0.649427,98.200000000,75.492742366,100.824589271,83.477672079,79.595703383,0.026376052,0.162427020,0.210046102,0.136050968,0.183670050,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2403,A,2.47,0.118352,0.000000000,0.408998554,0.308566011,0.158336207,0.616729,97.200000000,75.103761224,101.160485229,83.143980610,79.229484070,0.039937507,0.156196900,0.204422208,0.116259393,0.164484701,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2403,A,2.57,0.123143,0.000000000,0.375389229,0.365410212,0.189731230,0.588239,98.200000000,74.818554517,101.571365949,84.594305014,79.894398336,0.033755449,0.149139268,0.206300473,0.115383819,0.172545025,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2403,A,2.68,0.128414,0.000000000,0.371978715,0.371178491,0.192959819,0.557796,98.200000000,74.399678427,101.907637592,84.610041200,79.707609249,0.037060674,0.148953265,0.208641160,0.111892592,0.171580487,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2403,A,2.78,0.133206,0.000000000,0.390793036,0.339357410,0.175248134,0.532963,98.200000000,74.069038741,102.240609962,83.629270186,79.006054029,0.040322741,0.160612635,0.217481733,0.120289893,0.177158991,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2403,A,2.88,0.137997,0.000000000,0.431732727,0.270115197,0.137521614,0.510248,99.100000000,73.765396359,102.581672737,81.549110530,77.728257196,0.034529847,0.194924019,0.242910580,0.160394172,0.208380732,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2403,A,2.98,0.142789,0.000000000,0.409418307,0.307856073,0.157948861,0.490706,100.000000000,73.584188519,103.019157463,82.645922467,78.233408337,0.029744780,0.190604698,0.245473413,0.160859918,0.215728633,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2403,A,3.08,0.14758,0.000000000,0.393570370,0.334660043,0.172653883,0.475208,102.000000000,73.617860605,103.639857421,83.665023350,78.801274931,0.015949167,0.198151804,0.258043637,0.182202638,0.242094471,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2403,A,3.19,0.152851,0.000000000,0.365303973,0.382467631,0.199301806,0.459644,101.000000000,73.683822173,104.334701069,85.406791212,79.792597692,0.032483494,0.167694897,0.235689777,0.135211403,0.203206283,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2403,A,3.29,0.157643,0.000000000,0.361222313,0.389371033,0.203195279,0.449888,101.000000000,74.031429474,105.219941913,86.175332780,80.368787961,0.040932327,0.158736543,0.228494625,0.117804215,0.187562298,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2403,A,3.39,0.162434,0.000000000,0.343023263,0.420151492,0.220698532,0.441887,103.000000000,74.476833311,106.185743768,87.799379349,81.474943300,0.030460872,0.159674557,0.234433459,0.129213684,0.203972587,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2403,A,3.49,0.167226,0.000000000,0.325458326,0.449859462,0.237818317,0.433714,107.000000000,74.865240933,107.089468770,89.361614731,82.528752564,0.000835807,0.180137610,0.259682086,0.179301803,0.258846279,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2403,A,3.59,0.172017,0.000000000,0.321958673,0.455778503,0.241256370,0.423408,110.000000000,75.022735554,107.769431003,89.947975384,82.923084427,0.020486319,0.201248914,0.282566881,0.180762595,0.262080562,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2403,A,3.69,0.176809,0.000000000,0.309186978,0.477379556,0.253880943,0.416225,112.000000000,75.412497638,108.656491313,91.282500578,83.852514101,0.030307421,0.204539772,0.289439400,0.174232350,0.259131979,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2403,A,3.79,0.1816,0.000000000,0.295772101,0.500068437,0.267274603,0.406662,114.000000000,75.544358161,109.294349679,92.421663668,84.564873745,0.042153750,0.209837042,0.298679472,0.167683292,0.256525722,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2403,A,3.9,0.186871,0.000000000,0.318120199,0.462270600,0.245037761,0.394391,118.000000000,75.467780542,109.777945521,91.328361093,83.875066548,0.072224976,0.256223249,0.341356236,0.183998273,0.269131260,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2403,A,3.99,0.191184,0.000000000,0.321040834,0.457330865,0.242159560,0.384286,118.000000000,75.349379228,110.112491219,91.247623305,83.767599132,0.069182134,0.257107678,0.342638337,0.187925545,0.273456203,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2403,A,4.47,0.214183,0.000000000,0.375216169,0.365702912,0.189894865,0.33898,118.000000000,74.904261895,111.947417670,88.451051832,81.938566960,0.052655349,0.288235312,0.364714841,0.235579964,0.312059493,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2403,A,4.97,0.238141,0.000000000,0.364675000,0.383531427,0.199901021,0.29798,121.000000000,74.052129612,113.281520970,89.097834060,81.894124998,0.065914489,0.306055521,0.390363291,0.240141031,0.324448802,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2403,A,5.47,0.262099,0.000000000,0.319985678,0.459115474,0.243198651,0.26269,124.000000000,72.942635680,114.170470215,91.870972474,82.969189423,0.082588881,0.299896446,0.401812239,0.217307565,0.319223357,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2403,A,5.96,0.285577,0.000000000,0.309609109,0.476665596,0.253461710,0.230862,125.000000000,71.378067009,114.384348748,91.877681926,82.278512719,0.088749479,0.307855589,0.418203749,0.219106110,0.329454269,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2403,A,6.46,0.309535,0.000000000,0.286400403,0.515918999,0.276714007,0.203514,126.000000000,69.771734965,114.412792901,92.802904889,82.124540983,0.096469008,0.305803965,0.428045019,0.209334957,0.331576011,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2403,A,6.96,0.333493,0.000000000,0.280961947,0.525117181,0.282223336,0.183011,126.000000000,68.676599727,114.817514769,92.905986962,81.698642696,0.092937867,0.304693818,0.433244518,0.211755951,0.340306651,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2403,A,7.45,0.356972,0.000000000,0.243910110,0.587783779,0.320392372,0.166195,126.000000000,67.710119628,115.202155029,95.625167668,82.926205501,0.089593452,0.275845861,0.418330785,0.186252409,0.328737333,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2403,A,7.95,0.38093,0.000000000,0.216052821,0.634899433,0.349845979,0.151756,126.000000000,66.837807041,115.605134432,97.800155551,83.898860435,0.086101536,0.253355739,0.406669876,0.167254203,0.320568340,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2403,A,8.45,0.404887,0.000000000,0.218554939,0.630667545,0.347173043,0.140403,127.000000000,66.279956246,116.259235198,97.800265403,83.631414607,0.088364603,0.261259796,0.417767864,0.172895193,0.329403262,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2403,A,8.94,0.428366,0.000000000,0.211708254,0.642247496,0.354500240,0.131174,128.000000000,65.895864438,117.005697525,98.721026759,84.014312534,0.089807634,0.259732303,0.421043092,0.169924670,0.331235459,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2403,A,9.44,0.452324,0.000000000,0.204854186,0.653839935,0.361876924,0.122839,128.000000000,65.527033734,117.725001753,99.656149751,84.416273840,0.083678853,0.250304506,0.416270063,0.166625653,0.332591210,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2403,A,9.94,0.476282,0.000000000,0.178812178,0.697885364,0.390292464,0.115006,127.000000000,65.060687823,118.266477415,102.192229660,85.826506542,0.071246725,0.217331442,0.391859194,0.146084717,0.320612469,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2403,A,10.43,0.49976,0.000000000,0.165470365,0.720450670,0.405094424,0.109218,127.000000000,64.946421379,119.144422784,103.993407804,86.901729540,0.063850692,0.199859576,0.379409152,0.136008883,0.315558459,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2403,A,10.93,0.523718,0.000000000,0.149951205,0.746698571,0.422526708,0.103577,128.000000000,64.745153100,119.892407852,105.923529418,88.046341106,0.065435525,0.189312851,0.374166985,0.123877326,0.308731460,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2403,A,11.43,0.547676,0.000000000,0.136603775,0.769273377,0.437708763,0.0980472,130.000000000,64.417891925,120.442278181,107.515960735,88.940256731,0.076363832,0.189895142,0.379569579,0.113531310,0.303205747,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2403,A,11.92,0.571155,0.000000000,0.130575590,0.779468981,0.444624069,0.0925759,130.000000000,63.922404132,120.722269597,108.196137387,89.176991434,0.074041836,0.183588784,0.376911388,0.109546948,0.302869552,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2403,A,12.42,0.595113,0.000000000,0.129466453,0.781344889,0.445900444,0.0878556,132.000000000,63.564017337,121.143920461,108.553780352,89.238921706,0.085822658,0.195556201,0.391484636,0.109733542,0.305661978,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2403,A,12.92,0.61907,0.000000000,0.118291938,0.800244596,0.458830258,0.0832886,133.000000000,63.123347107,121.421558375,109.776175631,89.872330424,0.091080684,0.191905602,0.391959016,0.100824918,0.300878332,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2403,A,13.42,0.643028,0.000000000,0.115192992,0.805485912,0.462438876,0.0782643,133.000000000,62.362576518,121.250677027,109.796111862,89.594723527,0.092489015,0.191724011,0.395052699,0.099234996,0.302563684,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2403,A,13.91,0.666507,0.000000000,0.109968108,0.814322875,0.468545843,0.0733586,133.000000000,61.468823805,120.844494810,109.819790923,89.289047630,0.095844576,0.191508370,0.398470295,0.095663794,0.302625719,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2403,A,14.41,0.690465,0.000000000,0.107258927,0.818904973,0.471723725,0.0690836,133.000000000,60.713505087,120.584689765,109.742315959,88.956163343,0.097996803,0.192214093,0.402205427,0.094217290,0.304208624,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2403,A,14.91,0.714423,0.000000000,0.099787040,0.831542342,0.480528742,0.0652084,134.000000000,60.000723746,120.337540346,110.173341530,88.994298323,0.107539170,0.195784842,0.409267496,0.088245673,0.301728326,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2403,A,15.4,0.737901,0.000000000,0.094436229,0.840592288,0.486871079,0.0615487,134.000000000,59.242800406,119.975909974,110.294583935,88.811994992,0.110548828,0.194684978,0.411318080,0.084136150,0.300769253,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2403,A,15.9,0.761859,0.000000000,0.091033119,0.846348044,0.490920951,0.057984,133.000000000,58.427678800,119.509330675,110.124015388,88.413941427,0.106954679,0.188741985,0.408319463,0.081787306,0.301364784,things_source_s_tau_velocity_readout_no_refit_not_validation
