GalaxyName,Class,DistanceMpc,InclinationDeg,NPoints,Projection_RMS,MOND_RMS,RAR_RMS,Guardrail
UGC02455,C,6.92,51.0,8,0.793075490,0.805939674,0.800198251,paper2_submission_source_ready_no_tau_validation_no_external_overclaim
UGC03580,C,20.70,63.0,47,0.280295930,0.294397388,0.284289641,paper2_submission_source_ready_no_tau_validation_no_external_overclaim
UGC04305,C,3.45,40.0,22,0.595364038,0.647098431,0.646001762,paper2_submission_source_ready_no_tau_validation_no_external_overclaim
UGC04325,C,9.60,41.0,8,0.284250584,0.259597678,0.261395008,paper2_submission_source_ready_no_tau_validation_no_external_overclaim
UGC04499,C,12.50,50.0,9,0.137445134,0.168032936,0.166726695,paper2_submission_source_ready_no_tau_validation_no_external_overclaim
UGC05253,C,22.90,37.0,73,0.080485995,0.082571025,0.082053269,paper2_submission_source_ready_no_tau_validation_no_external_overclaim
UGC05716,A,21.30,54.0,12,0.113234582,0.087992570,0.088175898,paper2_submission_source_ready_no_tau_validation_no_external_overclaim
UGC05764,A,7.47,60.0,10,0.329468364,0.253180083,0.253719025,paper2_submission_source_ready_no_tau_validation_no_external_overclaim
UGC05829,C,8.64,34.0,11,0.138511849,0.134425123,0.133780413,paper2_submission_source_ready_no_tau_validation_no_external_overclaim
UGC05918,C,7.66,46.0,8,0.142410680,0.105430543,0.105249912,paper2_submission_source_ready_no_tau_validation_no_external_overclaim
UGC06446,C,12.00,51.0,17,0.194477890,0.156385169,0.157244578,paper2_submission_source_ready_no_tau_validation_no_external_overclaim
UGC06818,C,18.00,75.0,8,0.308337913,0.330447432,0.329138723,paper2_submission_source_ready_no_tau_validation_no_external_overclaim
UGC06917,C,18.00,56.0,11,0.071490152,0.053749002,0.054578575,paper2_submission_source_ready_no_tau_validation_no_external_overclaim
UGC06973,C,18.00,71.0,9,0.212731540,0.224073118,0.209708449,paper2_submission_source_ready_no_tau_validation_no_external_overclaim
UGC07323,C,8.00,47.0,10,0.146477589,0.168065431,0.165902515,paper2_submission_source_ready_no_tau_validation_no_external_overclaim
UGC07399,C,8.43,55.0,10,0.397297780,0.358341693,0.360100316,paper2_submission_source_ready_no_tau_validation_no_external_overclaim
UGC07577,C,2.59,63.0,9,0.654467132,0.783044594,0.782608443,paper2_submission_source_ready_no_tau_validation_no_external_overclaim
UGC07603,C,4.70,78.0,12,0.180772538,0.139546990,0.139863072,paper2_submission_source_ready_no_tau_validation_no_external_overclaim
UGC08490,C,4.65,50.0,30,0.186480775,0.131624314,0.133509091,paper2_submission_source_ready_no_tau_validation_no_external_overclaim
UGC08837,C,7.21,80.0,8,0.439660106,0.512885689,0.512159307,paper2_submission_source_ready_no_tau_validation_no_external_overclaim
UGC12632,C,9.77,46.0,15,0.105256872,0.101584490,0.101364240,paper2_submission_source_ready_no_tau_validation_no_external_overclaim
